,工具性技能1,工具性技能2,工具性技能3,工具性技能4,工具性技能5,工具性技能6,知识/思维1,知识/思维2,知识/思维3,知识/思维4,知识/思维5,知识/思维6,语言1,语言2,语言3,资质/经验1,资质/经验2,资质/经验3,通用技能1,通用技能2,通用技能3,通用技能4,通用技能5,通用技能6,思想/品格1,思想/品格2,思想/品格3,思想/品格4,思想/品格5,其他要求1,其他要求2,其他要求3
客户代表/大客户代表/客户经理,SaaS软件,,,,,,谈判技巧,商务公关,市场营销,大客户管理,,,普通话标准,,,,,,语言表达,,,,,,进取心,亲和?力,强烈成功欲望,服务意识,,口齿清晰,,
课程顾问,,,,,,,解决营销实际问题,,,,,,普通话标准,,,,,,语言表达,沟通协调,,,,,心态积极向上,热爱中国传统文化,亲和?力,主动营销意识,,,,
跨境电商运营/跨境产品运营/亚马逊运营/速卖通运营/阿里国际站运营,,,,,,,FBA发货流程,平台相关政策,商品管理,,,,英语四级读写,,,,,,沟通协调,,,,,,,,,,,,,
猎头顾问/猎头顾问助理,,,,,,,,,,,,,,,,,,,团队协作,沟通协调,,,,,职业道德观,自驱动力,反思积极主动,,,,,
零售管理培训生/零售运营管培生,,,,,,,商务谈判,市场营销,运营规划,,,,,,,,,,office办公软件,数据分析,分析决策,学习,人际交往,,前瞻性,亲和?力,,,,,,
内容运营,,,,,,,公众号运营,营销-策划-推广能力,,,,,,,,文字编辑功底,非文学类书籍阅读基础,,,,,,,,思想成熟,宏观思维,,,,,,
农业管理储备员/农业管理储备干部,,,,,,,基本运力知识,,,,,,英语运用能力,,,半年以上车间实习经验,,,office办公软件,沟通协调,团队协作,学习,,,抗压性,目标敏感,强烈成功欲望,,,,,
培训研究员/培训师/培训策划研究员,,,,,,,专业素质,组织策划能力,培训能力,,,,,,,,,,office办公软件,团队协作,人际交往,分享交流,,,,,,,,气质形象,,
平面设计师,主流设计软件,CorelDRAW/CDR,illustrator,,,,,,,,,,,,,美术功底,活动影像拍摄,,,,,,,,创意,,,,,,,
前端开发工程师/前端工程师/客户端工程师,JavaScript,html5css,HTMLS,jQurey,Vue,UE4,数据结构,react技术栈,,,,,,,,,,,,,,,,,,,,,,,,
