岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
房地产销售/招商,新闻媒介素养,553.651442696576,媒体内容特点,430.6177887640036,灵活驾驭不同领域,369.1009617977173,供应链业务,316.8775506041642,表现形式,307.58413483143113,招商工作流程,273.408119850161,招商流程,182.27207990010734,人际交际,164.04487191009662,供应商资源,138.18084257176275,铜陵市,136.7040599250805
技术助理,自驱力极,1879.6808239698576,岩土工程,1059.4564644193738,结构工程设计软件,988.8260334580822,数值计算软件,918.1956024967906,实验室检测流程,878.8118138040891,污水生化处理,717.6963146066726,机械原理知识,642.9206210781128,看图功底,605.9778064040814,产品开发程序,546.8162397003218,高度认同公司企业文化,454.5921440739563
技术开发管培生,问题发现,296.6989609992938,办公软件知识,296.19212983767443,计算机基础知识,116.22750210344937,自我约束力,102.52804494381039,主动沟通意识,67.29753202454259,处理管理,58.81914746322706,培养潜力,53.184713405405496,高度额责任心,41.10897109908353,沟综合素质,39.63627871974252,组织协调力,36.405750683860816
技术支持,读英文科学文献,1093.632479400644,启发式的方式向客户介绍复杂的科学结果,820.2243595504829,创新研究思路,729.0883196004294,相关器材,711.5788974948698,解决客户的技术问题,637.9522796503755,人力资源实务理论,512.6402247190518,科研背景,478.4642097377817,物流仓储行业运筹优化算法,446.2565656209711,团队协助精神,419.4899988211255,英文基础,411.0936880626219
技术支持工程师,愿意接受挑战,1310.6501745317098,虚拟化,1060.0785853584161,linux操作系统,992.8618675865797,代码基础,958.5710562743061,exce,751.8723295879429,公司现有软硬件的产品,751.8723295879429,技术交流,751.8723295879429,交换机的运行机制,715.067390377344,协调团队间,694.0359965427162,云计算,660.2436389541465
技术质量管理,法律专业知识,201.16981592497217,word文档,93.72030958500537,ppt操作,52.15409294070153,产品外观,50.156455049484194,质量意识,35.25887616686575,极富团队合作精神,31.76868584085089,外延产品知识,18.048177870015753,文字功底,17.732535070265296,化办公软件,14.935220960431872,合同管理专业知识,7.48994661925019
投资助理,股票投资,915.7202323349944,市场未来热点,623.7689204383495,语言沟通,452.66844271817087,行业趋势,415.56965384539285,税务师,273.40811985016103,业务规则,273.40811985016103,投资理财,258.9793633116257,思维敏捷,241.5100043147767,展客户提供素材,239.2321048688909,产品运作方式,214.82066559655505
投资经理,研究分析,797.4481598440464,股权投资运作流程,768.9603370785777,证券从业资,694.9791143828089,保代资格考试,683.5202996254025,投资知识,650.5069007714205,印刷品设计需求,645.5469496462135,可转债,494.76216835876363,计划执行,430.1523264601351,平面设计技,328.2035182311647,国内外资本市场,270.6069509326338
投资者关系咨询顾问,财务各,1236.1839481339296,文件撰写,214.82066559655505,批判性思维,200.4160999033605,高管理动机,170.88007490635061,保密意识,153.9655077657233,国内外资本市场,145.26233179981725,职业操,102.57701806049064,强烈成就动机,89.25131693874015,文字功底,88.88159553737904,责任感6,77.34543867999747
抖音运营,抖音运营模式,786.0483445692126,小红书,439.7342034382749,办公计算机操作,276.8151645450874,沟综合素质,184.96930069213175,产品的咨询,174.29767640447764,将新鲜元素,143.15557769583157,互联网产品,139.80896755610217,审美力,126.63453260199638,工作态度端正,105.2866616994045,了解公司产品,86.79408198852171
招商管理,时尚品味,14982.204512851462,英语四级通,971.0270090073052,沟通表达理,866.2101316724037,逻辑思考力,641.1001305763982,word文档,599.2645192247564,ppt操作,157.91100362601304,,,,,,,,
招商经理,成就他人,1025.2804494381037,社交感,382.6728543212764,沟通谈判,180.14685475907004,人际交往,154.55697262613643,高度额责任心,61.007462428959066,服务意识足,58.8243241776387,团队精神6,27.474986618930917,与人沟通,22.046431700179216,抗压性,0.0,处理管理,0.0
招生顾问,热爱中国传统文化,258.1252795073932,口齿清晰,190.77372398617155,语言沟通,109.0767331851014,处理人际关系,98.38080804151087,诚信敬业,80.40132093300143,目标意识,69.98946934778168,销售意识,49.22023125570955,与人沟通,45.93006604204003,普通话标准,37.08629985367384,团队意识,36.62465600566573
招聘管理培训生,正形象气质,888.9871095500652,说服技巧,540.0662741564954,爱岗敬业,452.88441636185564,文字功底,451.3736199703888,中英文沟通,432.3999409606361,word文档,353.4233896808284,人际交往,333.84306087245477,沟通表达理,309.80107625231034,轻言放弃,286.1579797724466,事业心,272.78104014526747
招聘顾问,国家相关法规,835.0975047521396,常用面试方法,714.2506103541258,招聘流程,569.2094920750172,招聘渠道开发,561.7065196070811,人力资源管理专业知识,482.64655694623985,情绪管理,460.28237820970037,正形象气质,351.19526475745687,说服技巧,304.0373098955086,做事有条理,297.1978018031451,讲方法,273.40811985016103
控制算法工程师,pid,2157.147374887415,现代控制理论,1756.9988381747876,自动控制理论基础,1062.3804433147332,mpc,920.9559729375857,飞行器制导,806.5539535579749,舒适性评价标准,717.2188049489035,自动空调,683.1629157478832,控制理论,665.1957827199291,设计开发经验,658.7121156221378,热管理标定方法,649.1070265468628
推广管培生,市场活动,649.3442846441324,电脑外设产品,596.7571616648506,市场趋势敏感度,463.8173461743802,创意策划,159.9205064996776,电竞装备,145.248063670398,视频制作,101.03617036415477,文案功底,99.57535238298387,文字功底,42.783259217147965,团队精神6,33.30301408355263,ppt操作,23.593518235079273
推广管理岗,数据分析技能,13042.154587541942,语言沟通,4950.525447558103,谦虚谨慎,2155.037832744063,发现时下热点,2107.5209238449916,推广活动流程,1632.7585417623382,文字功底,1313.8964080634653,解决问题的意识,1133.1102389868101,创新意识,916.7283347729457,金融原理,820.2243595504829,学习思考,817.879566619617
推荐算法工程师,spark,353.98513947785295,机器学习,306.43339051788746,yarn,279.7175380005494,storm,272.9178994827756,编码量,266.83107695575774,word2vec,202.49817403570512,linux操作系统下的软件开发经历,195.01042620097934,数据驱动,189.62312707033612,python程序,172.83186381666025,hbase,167.04989940924276
插画师,各设计软件,649.3442846441325,手绘板绘制,633.8776264502617,sai,611.2678093405568,花型设计,569.2430892367762,设计基础,388.35630997850785,敏捷的创意思维,332.85998745335894,短视频拍摄,287.0215136991549,想象力,253.28125198642275,造型功底,213.29694511029894,美术基础,196.82628420276416
搜索算法工程师,从case,956.9284194755636,模型算法,774.6563395754562,edding,592.3842596753489,定量统计,580.992254681592,结构公差分析,550.3741074095162,问题拆解,546.8162397003221,flink,458.19570247849225,语言基本功,410.11217977524154,工程架构,374.0575244578013,结构问题,353.2486022565252
摄影/摄像,专业摄影技巧,355.4305558052092,美学知识,350.99381522048424,绘制分镜头,307.11958831792373,创意写作,282.6411616960122,专业设备,263.24536141536316,灯光设备,224.7149243271143,摄像机,219.37113451280263,小红书,217.01168481369416,审美力,214.0726622557558,镜头的把控,209.56281713789812
教学管理,目标敏感,1046.8776879513418,自驱力,197.33079992165497,四级通,102.52804494381039,问题分析,17.451295541360118,极富团队合作精神,2.9899939614918476,亲和؜力,2.1781996738181078,主动沟通意识,0.0,用户服务意识,0.0,抗压性,0.0,,
教育运营,mg动画视频的制作,989.4288912265885,抓重点,897.1203932583405,完成视觉设计,865.7923795255098,前期策划,512.6402247190517,电磁场,434.268793366237,编码习惯,325.6957637561429,新媒体运营工作经验,308.5958017247812,视觉和动效的表现,307.584134831431,分镜设计,291.5843733263944,flutter,253.8489044581551
数字前端工程师,物理层算法,1398.1097037792324,芯片设计流程,1041.8908102777025,通信标准,1001.9878478411981,通信系统,945.040330773992,数字电路设计,751.9631915676083,保证流程,616.290502550715,tcl,499.403672959743,低速数字接口,344.4942310112027,信号基本匹配和端接方法,325.3556626216915,数据显示,311.001736329558
数字化运营,协调问题,1367.040599250805,快速适应,1354.6872994951834,团队协作意识,813.3514278829083,思维敏捷,716.0061304391028,数字化转型,645.9648025930385,另类项目数据管理,601.497863670354,主流工业软件,580.9922546815919,可塑性,533.4487948639451,产制造管理,435.74419101119395,创新意识,368.57180228819954
数字化运营管理岗,组织沟通,1540.7301690357085,主动沟通意识,161.51407685890223,职业操,143.2541114293059,高度额责任心,57.727491330627934,极富团队合作精神,56.06238677797215,服务意识足,47.05945934211096,工作责任心,37.97827389012125,word文档,20.82673546333453,无线互联网络应用设计,0.0,ppt操作,0.0
