行业,岗位大类,岗位细分,岗位具体名称,code,最低薪资,最高薪资,资质要求1,资质要求2,学历要求,标签,职位描述,所属公司,所属公司_code,公司介绍,公司所在行业,公司性质,公司规模,公司所在地,公司标签,刷新时间,【关键词1】前,【词1-词2】,【词2后】,工作内容（总的）,简历要求,截止日期,职位所在地,网站链接
互联网/IT,技术,技术管理,管理培训生,inn_vjwduz2jrdxe,6000,9000,应届生,,本科,年终奖;下午茶;弹性工作;五险一金;定期体检;高提成;节日福利;免费健身房;全勤奖,英语;excel,爱零工,com_tx50eq7lnot9,致力于用AI助力消费品企业线下营销数智化进程。,企业服务/咨询,民营企业,50-150人,上海市/上海,,2021-08-17 14:03:50," 
 
如果你是应届生、觉得自己够优秀，潜力或能力还未被挖掘，那么，这里就是展现自己机会的舞台！欢迎投递！
职位要求：
1、2022届应届毕业生，本科及以上学历，专业不限；
2、优秀的学习力、理解力、自驱力、沟通表达及协调能力，具备独立思考、解决问题的能力，工作积极主动，抗压力强，具有团队合作精神。","岗位职责：
1、根据公司业务发展需要，通过轮岗全面快速了解业务发展策略及重心，熟悉各岗位工作流程并实践；
2、优质高效完成上级导师分配的工作任务；
3、可提供岗位：项目管理、项目执行、数据审核、运营等，根据个人兴趣或有优势的方向培养。
 
福利待遇：
1. 员工福利：五险一金、带薪年假、安居借款、临港买房优惠、健康体检、免费健身、生日会、节假日礼品、弹性考勤、周末双休、团建活动、运动俱乐部。
2.工作时间弹性：9:00-18:00 或10:00-19:00, 双休。
3.专项福利：有竞争力的薪资待遇，重点项目赋能，导师带教，双通道发展路径 。",," 
 
如果你是应届生、觉得自己够优秀，潜力或能力还未被挖掘，那么，这里就是展现自己机会的舞台！欢迎投递！
职位要求：
1、2022届应届毕业生，本科及以上学历，专业不限；
2、优秀的学习力、理解力、自驱力、沟通表达及协调能力，具备独立思考、解决问题的能力，工作积极主动，抗压力强，具有团队合作精神。
岗位职责：
1、根据公司业务发展需要，通过轮岗全面快速了解业务发展策略及重心，熟悉各岗位工作流程并实践；
2、优质高效完成上级导师分配的工作任务；
3、可提供岗位：项目管理、项目执行、数据审核、运营等，根据个人兴趣或有优势的方向培养。
 
福利待遇：
1. 员工福利：五险一金、带薪年假、安居借款、临港买房优惠、健康体检、免费健身、生日会、节假日礼品、弹性考勤、周末双休、团建活动、运动俱乐部。
2.工作时间弹性：9:00-18:00 或10:00-19:00, 双休。
3.专项福利：有竞争力的薪资待遇，重点项目赋能，导师带教，双通道发展路径 。",中文,2022-06-30,张江盛大天地源创谷,https://www.shixiseng.com/intern/inn_vjwduz2jrdxe?pcm=pc_SearchList
互联网/IT,技术,技术,【2022校招】系统工程师,inn_whffec81ta9o,12000,16000,应届生,,本科,商业险;下午茶;周末双休;年终奖;生日福利;定期体检;带薪年假;免费健身房,Linux;系统运维;网络运维;Shell;自动化运维;TCP协议;HTTP协议;Python,搜狐畅游,com_acphcwmo9zcs,中国领先的互联网游戏开发和运营商,互联网/游戏/软件,民营企业,500-2000人,北京,弹性工时;福利多;发展前景好;学习氛围好,2021-12-27 11:11:43,,"1. 游戏产品、平台等线上服务器系统的安装, 配置和管理、日常操作以及安全管理等工作；
2. 常用脚本工具和自动化工具开发；
3. 对突发事件进行及时响应；","1、22届/21届计算机相关专业，本科学士学位
2、 熟悉Linux、windows server 操作系统基本原理
3、 熟悉python语言，能够使用python开发简单的脚本工具
4、 熟悉TCP/IP网络基础知识
5、 重点院校成绩突出者优先
6、 具有RHCE,CCNP，LPI-1,LPI-2,LPI-3相关linux证书者优先考虑","【工作职责】
1. 游戏产品、平台等线上服务器系统的安装, 配置和管理、日常操作以及安全管理等工作；
2. 常用脚本工具和自动化工具开发；
3. 对突发事件进行及时响应；
【任职要求】
1、22届/21届计算机相关专业，本科学士学位
2、 熟悉Linux、windows server 操作系统基本原理
3、 熟悉python语言，能够使用python开发简单的脚本工具
4、 熟悉TCP/IP网络基础知识
5、 重点院校成绩突出者优先
6、 具有RHCE,CCNP，LPI-1,LPI-2,LPI-3相关linux证书者优先考虑",中文,2022-06-30,北京石景山区融科创意中心B座畅游大厦,https://www.shixiseng.com/intern/inn_whffec81ta9o?pcm=pc_SearchList
互联网/IT,技术,技术管理,预测算法工程师,inn_qgwjk2latpye,面议,面议,应届生,,本科,大牛云集,C++,autowise.ai,com_lgqf5pj9siko,autowise.ai(仙途智能)，专注无人驾驶技术研发，领跑无人驾驶商业化。,互联网/游戏/软件,民营企业,50-150人,上海市/上海,发展机会;同事年轻友好;牛人多;办公轻松氛围;下午茶很好吃,2022-03-15 18:44:14,,"负责构建高效的系统和算法帮助自动驾驶车辆理解复杂多样的周边环境，并针对 PB 级数据进行算法的测试、验证和快速部署，包括但不限于以下方面：
1. 跟踪复现顶会最新论文，对道路交通参与者(车辆、行人、自行车等)的意图、轨迹、分布进行分析和预测；
2. 构建模型理解交通参与者多样密集的复杂场景，包括但不限于测试区域、园区、城市道路；
3. 研发在线预测系统以及离线机器学习模型流水线。
 ","1. 具有计算机、自动化、通信工程等相关专业背景；
2. 对传统机器学习、深度学习、优化理论一项或多项有深入研究；
3. 熟悉数据结构算法，熟练使用 C++ 或 Python，熟悉某种深度学习框架；
4. 有机器学习相关论文发表、竞赛获奖者优先；
5. 有自动驾驶/机器人系统算法开发经验者优先。","工作职责：
负责构建高效的系统和算法帮助自动驾驶车辆理解复杂多样的周边环境，并针对 PB 级数据进行算法的测试、验证和快速部署，包括但不限于以下方面：
1. 跟踪复现顶会最新论文，对道路交通参与者(车辆、行人、自行车等)的意图、轨迹、分布进行分析和预测；
2. 构建模型理解交通参与者多样密集的复杂场景，包括但不限于测试区域、园区、城市道路；
3. 研发在线预测系统以及离线机器学习模型流水线。
 
岗位要求：
1. 具有计算机、自动化、通信工程等相关专业背景；
2. 对传统机器学习、深度学习、优化理论一项或多项有深入研究；
3. 熟悉数据结构算法，熟练使用 C++ 或 Python，熟悉某种深度学习框架；
4. 有机器学习相关论文发表、竞赛获奖者优先；
5. 有自动驾驶/机器人系统算法开发经验者优先。",中文,2022-06-30,申长路1398弄阿里中心3号楼8楼,https://www.shixiseng.com/intern/inn_qgwjk2latpye?pcm=pc_SearchList
互联网/IT,技术,通信技术,项目经理管培生（往届生专场）,inn_komoitxykmhj,10000,15000,应届生,毕业1年内,本科,餐补;定期体检;周末双休;周末双休,项目经理管培生,浩鲸科技,com_4ed2dcym89nx,浩鲸云计算科技股份有限公司是一家全球领先的数据智能科技公司，由阿里巴巴和中兴通讯共同投资。,互联网/游戏/软件,股份制企业,2000人以上,南京,上升空间大;学习平台多;实战多成长快;业内认可度高，领导Nice，AI，区块链，有激情，无政治,2021-11-19 15:28:38, ,"工作内容
作为自研软件项目的项目经理/技术经理的定向培养生;
项目经理:可作为公司项目或项目集单位的负责人,全流程负责团队管理及经营
管理,对项目盈利负责;
1.培养交付项目管理能力,对项目交付结果负责;
2制定项目阶段性目标和项目总体控制计划,能够将总目标分解;
3划分出主要工作内容和工作量,确定项目阶段性目标及实现标志;
4负责团队成员绩效管理,并管理团队成员符合项目行为规范;
5管理和控制项目全过程的质量、进度、风险、问题、成本等领域;
6.分析偏差,采取纠正措施,确保项目正常进行。
职位要求
1.理工科专业,通过CET4，22届统招本科及以上学历;
2.具备一定软件开发基础,对软件行业有兴趣,致力向项目管理、技术经理方向
发展;
3善于沟通、具备强烈上进心和求知欲及沟通能力,具备良好的团队合作精神
拥有较为丰富的学生会、社团组织、社会实践经验及相关管理干部优先;
形象气质佳、性格外向。
5.接受海内外差旅",," 
工作内容
作为自研软件项目的项目经理/技术经理的定向培养生;
项目经理:可作为公司项目或项目集单位的负责人,全流程负责团队管理及经营
管理,对项目盈利负责;
1.培养交付项目管理能力,对项目交付结果负责;
2制定项目阶段性目标和项目总体控制计划,能够将总目标分解;
3划分出主要工作内容和工作量,确定项目阶段性目标及实现标志;
4负责团队成员绩效管理,并管理团队成员符合项目行为规范;
5管理和控制项目全过程的质量、进度、风险、问题、成本等领域;
6.分析偏差,采取纠正措施,确保项目正常进行。
职位要求
1.理工科专业,通过CET4，22届统招本科及以上学历;
2.具备一定软件开发基础,对软件行业有兴趣,致力向项目管理、技术经理方向
发展;
3善于沟通、具备强烈上进心和求知欲及沟通能力,具备良好的团队合作精神
拥有较为丰富的学生会、社团组织、社会实践经验及相关管理干部优先;
形象气质佳、性格外向。
5.接受海内外差旅",中文,2022-06-30,南京市江宁区,https://www.shixiseng.com/intern/inn_komoitxykmhj?pcm=pc_SearchList
互联网/IT,技术,技术管理,SQE工程师,inn_4qwffc59stnz,6000,10000,应届生,毕业1年内,本科,带薪年假;周末双休;免费班车;地铁周边;免费健身房,质量管理,国光集团,com_vnx5xalq95wm,国光电器股份有限公司始建于1951年，创立至今持续专注于电声、电子技术领域，是全球声学领域综合技术方案的解决者,互联网/游戏/软件,外资企业,2000人以上,广东/广州,有假期;导师培养;免费加班晚餐;地铁沿线;行业领先;五险一金齐全,2021-04-23 10:42:07," 
 
技术服务类、化学、结构、机械及相关专业","1、 供应商开发、审核、评估、整改及相应资料整理；
2、 物料质量监督、评审、数据统计；
3、 参与新产品试产，编写《物料检验指导书》。","1、 本科及以上学历，技术服务类、化学、结构、机械及相关专业；
2、 优秀的供应商管理能力；
3、 较强的沟通协调能力；"," 
 
技术服务类、化学、结构、机械及相关专业
工作职责
1、 供应商开发、审核、评估、整改及相应资料整理；
2、 物料质量监督、评审、数据统计；
3、 参与新产品试产，编写《物料检验指导书》。
任职资格
1、 本科及以上学历，技术服务类、化学、结构、机械及相关专业；
2、 优秀的供应商管理能力；
3、 较强的沟通协调能力；",中文,2022-07-30,广东省广州市花都区镜湖大道8号,https://www.shixiseng.com/intern/inn_4qwffc59stnz?pcm=pc_SearchList
互联网/IT,软件,软件,Java开发工程师,inn_4aeozvoeo74u,7000,15000,应届生,,本科,下午茶;定期体检;带薪年假;餐补;生日会;周末双休,Java;软件开发,中科创达,com_jwzdlgipa9ds,全球领先的智能平台技术提供商,电子/通信/硬件,外资企业,2000人以上,武汉,一对一辅导;氛围活跃;工作环境舒适;学习氛围佳,2021-11-01 18:24:46,,,," 
职位描述
1.负责创达业务（智能手机、智能汽车、智能物联网、智能视觉等）某一技术领域的研发工作
2.负责应用前沿技术（Webassembly，flutter等）的预研
3.负责操作系统应用编程框架（JS，SDK，相关服务）的设计与开发
4.负责操作系统应用层多框架（图形系统，多媒体系统，camera子系统，通信子系统等）的设计与开发
5.负责和操作系统应用编程相关工具（构建，编译，调试，自动化测试，IDE工具等）的设计/开发6.负责操纵系统应用层相关问题的分析与解决
任职资格
1.统招一本及以上学历，计算机、电信等相关理工科专业
 2.热爱软件编程，熟练掌握JAVA编程语言，玩转Android操作系统，有良好的编程习惯
3.具备优秀的学习能力和深入思考能力, 善于刨根问底, 对具有挑战性的问题充满激情
4.具备基础的英文或其他语言读写能力，拥有CET4级、其他语言证书、计算机相关比赛/实习经历者优先考虑",中文,2022-06-30,武汉市光谷软件园A3,https://www.shixiseng.com/intern/inn_4aeozvoeo74u?pcm=pc_SearchList
互联网/IT,技术,信息安全,安全管理岗,inn_cccdwbxtv4tc,10000,15000,应届生,,本科,免费三餐;项目奖金,土木,中建方圆,com_rmyvkumutc8t,大型央企中建装饰集团全资子公司,房产/家居/物业/建筑,国有企业,500-2000人,江苏/苏州,,2022-03-15 13:29:47,,,," 
职位描述：
1、组织或者参与拟订本单位安全生产规章制度、操作规程和生产安全事故应急救援预案；
2、组织或者参与本单位安全教育生产培训，记录安全教育生产培训情况；
3、落实本单位重大危险源的安全管理措施；
4、组织或者参与本单位应急救援演练；
5、检查本单位的安全生产状况，及时排查生产安全事故隐患，提出改进安全生产管理的建议；
6、制止和纠正违规指挥、强令冒险作业、违反操作规程的行为；
7、落实本单位安全生产整改措施。
任职要求：
 
1.学历：2022年应届大学本科及以上毕业生，中共党员、学生干部优先录取。
2.其他要求：
（1）在校期间学习成绩良好，专业课程无补考；
（2）本科生英语四级以上，研究生英语六级以上水平；
（3）身体健康，形象气质良好；有较强的语言表达能力和人际关系处理能力，较好的学习能力和实践能力；
（4）具有良好的个人修养，在校期间无不良记录，热爱建筑事业，愿意与企业共同成长；
（5）自律性强、能吃苦耐劳,乐观、积极向上。具有强烈的责任感与吃苦耐劳的品格，愿意从基层项目做起，有较强的团队合作精神。
 
 ",中文,2023-03-16,江苏省苏州市姑苏区劳动路燃气大厦13层,https://www.shixiseng.com/intern/inn_cccdwbxtv4tc?pcm=pc_SearchList
互联网/IT,技术,技术,C/C++开发工程师,inn_ne4qz1dnv7jw,3000,4000,应届生,,本科,定期体检;年度旅游;定期团建;弹性工作,C++;C,飞天诚信,com_ao9m0gpqyeit,全球领先的智能卡操作系统及数字安全产品、方案的供应商和服务商。,互联网/游戏/软件,股份制企业,500-2000人,北京,健康体检;出境旅游;定期活动;毕业留任;公司内部培训;晋升空间,2021-10-21 14:13:49," 
岗位要求
1.熟悉Linux、MACOS或VC开发环境，掌握C/C++开发语言
2.熟练掌握Linux多进程、多线程、进程间通讯等编程知识
3.熟悉MFC、QT、COM控件及界面编程优先","岗位职责
1.USBKey中间件及相关软件开发
2.PKI产品需求调研和开发
3.负责虚拟数字货币APPLET的开发工作",," 
岗位要求
1.熟悉Linux、MACOS或VC开发环境，掌握C/C++开发语言
2.熟练掌握Linux多进程、多线程、进程间通讯等编程知识
3.熟悉MFC、QT、COM控件及界面编程优先
岗位职责
1.USBKey中间件及相关软件开发
2.PKI产品需求调研和开发
3.负责虚拟数字货币APPLET的开发工作",中文,2022-06-30,北京市海淀区学清路9号汇智大厦B座17层,https://www.shixiseng.com/intern/inn_ne4qz1dnv7jw?pcm=pc_SearchList
互联网/IT,技术,技术管理,行政管理,inn_djm4la33woaj,11000,13000,应届生,毕业1年内,本科,不加班;节日福利;房补;地铁周边;餐补;五险一金;生日福利;下午茶,行政;文员,乐有家,com_b9wgdxetp6rp,乐有家控股集团是2008成立的为产经纪为龙头、金融和互联网为两翼”的大型企业集团 深圳市福田区八卦路,房产/家居/物业/建筑,民营企业,2000人以上,广东/深圳,情怀& 梦想;有实力;晋升公平;以培养为重;福利待遇齐全;待遇优厚,2021-08-20 17:27:32, ,"1、参与搭建高效行政管理平台、优化检查监督机制；
2、统筹落实集团会议管理、公文管理、决议传达、行政奖惩、巡店检查、问题管理、商务接待等；
3、定期检查与指导子公司行政工作；
4、完成上级交办的其他任务。","1、本科及以上学历，专业不限，管理学、新闻、统计学、文秘等相关专业优先，有学生干部经验优先；
2、形象气质佳，礼貌礼仪佳，有良好的个人习惯；
3、积极主动性强，沟通表达流畅，应变能力较强；
4、有一定的文字功底，对数据较为敏感，办事认真、仔细；
5、洞察力强，具有发现问题、解决问题的意识；
6、愿意在深圳锻炼至少一年后去支持外拓城市，并且今后发展的方向是当地的总经办主任、城市CEO的优先。
【薪资待遇】
校招应届统招本科生转正年薪13.6万元/年起，硕士研究生16万元/年起（含福利、绩效等，一般高于行业应届毕业生平均薪酬63%以上），具体薪酬面议，每年至少一次晋级加薪机会。
1、薪酬福利有竞争力
具体面议，每年至少一次晋级加薪机会
五险一金、带薪假期、年终奖
授课奖、创新奖、仁杰奖、员工互助金政策
节日大礼包、贴心购物卡、人才房
丰富多彩的员工文体活动、国内精品游、国外豪华游
大学生租房免佣
2、培训及晋升机制完善
乐学堂APP移动化学习平台、每年投入2亿培训专项经费、3000多位培训讲师、一对一导师带教、特种兵闯关考核、1000多个培训基地、1000多门丰富课程、精选配套考题20000+！
明确的职级晋升标准和后备培养机制，帮助下属晋级是考核上级的重要指标；职能、营销晋升通道畅通无阻，助您纵向、横向多维度发展！
3、团队特色
集团化企业，学习型组织，创业型团队，开放型文化，年轻化团队（平均年龄26.7岁），职业化风貌，专业化协作，扁平化管理，阳光透明，简单真诚，最佳雇主欢迎您
4、大平台发展稳健
集团全国化拓展，已进驻全国150城，连锁直营门店5000+家，员工30000+人！"," 
【岗位职责】
1、参与搭建高效行政管理平台、优化检查监督机制；
2、统筹落实集团会议管理、公文管理、决议传达、行政奖惩、巡店检查、问题管理、商务接待等；
3、定期检查与指导子公司行政工作；
4、完成上级交办的其他任务。
【任职资格】
1、本科及以上学历，专业不限，管理学、新闻、统计学、文秘等相关专业优先，有学生干部经验优先；
2、形象气质佳，礼貌礼仪佳，有良好的个人习惯；
3、积极主动性强，沟通表达流畅，应变能力较强；
4、有一定的文字功底，对数据较为敏感，办事认真、仔细；
5、洞察力强，具有发现问题、解决问题的意识；
6、愿意在深圳锻炼至少一年后去支持外拓城市，并且今后发展的方向是当地的总经办主任、城市CEO的优先。
【薪资待遇】
校招应届统招本科生转正年薪13.6万元/年起，硕士研究生16万元/年起（含福利、绩效等，一般高于行业应届毕业生平均薪酬63%以上），具体薪酬面议，每年至少一次晋级加薪机会。
1、薪酬福利有竞争力
具体面议，每年至少一次晋级加薪机会
五险一金、带薪假期、年终奖
授课奖、创新奖、仁杰奖、员工互助金政策
节日大礼包、贴心购物卡、人才房
丰富多彩的员工文体活动、国内精品游、国外豪华游
大学生租房免佣
2、培训及晋升机制完善
乐学堂APP移动化学习平台、每年投入2亿培训专项经费、3000多位培训讲师、一对一导师带教、特种兵闯关考核、1000多个培训基地、1000多门丰富课程、精选配套考题20000+！
明确的职级晋升标准和后备培养机制，帮助下属晋级是考核上级的重要指标；职能、营销晋升通道畅通无阻，助您纵向、横向多维度发展！
3、团队特色
集团化企业，学习型组织，创业型团队，开放型文化，年轻化团队（平均年龄26.7岁），职业化风貌，专业化协作，扁平化管理，阳光透明，简单真诚，最佳雇主欢迎您
4、大平台发展稳健
集团全国化拓展，已进驻全国150城，连锁直营门店5000+家，员工30000+人！",中文,2022-07-13,广东省深圳市福田区安吉尔大厦,https://www.shixiseng.com/intern/inn_djm4la33woaj?pcm=pc_SearchList
互联网/IT,技术,移动开发,web前端开发工程师,inn_3bi00pyl48r8,13000,20000,应届生,,本科,节日福利;生日会;地铁周边;定期体检;免费健身房,Web前端;前端开发;Javascript;CSS;HTML5;HTML;React native,黑鲨科技,com_8iuxhcmyt0k0,专注于游戏手机及周边产品的设计、研发和销售,电子/通信/硬件,民营企业,150-500人,深圳,发展快;为梦想服务;生日会;实习证明;薪资稳定;段子手的天堂;团建培训;领导超强;轻松活跃;充满激情,2022-03-17 14:41:32,,,,"1、与UI设计师、交互设计师、产品经理协作，分析并给出最优的web、移动界面前端结构；
2、与后台开发工程师协作，完成各种数据交互、动态信息展现和用户的互动；
3、维护及优化网站前端页面性能；
4、负责解决产品在不同浏览器、移动设备端及不同版本下的兼容问题；
5、负责前端开发方面规范的标准、文档建设。
 
1.本科以上学历；软件相关专业背景；CET-4以上；
2.有计算机前端代码编写、分析经验，热爱前端开发，喜欢深入研究者优先；
3.了解Javascript、CSS2/3，Html5等主流前端技术；
4.能独立使用Vuejs/或Reactjs完成项目，熟悉MV*模式者优先；
5.能够使用webpack等完成打包；
6.良好的沟通能力和学习能力，有效工作；
7.熟悉Js面向对象DOM编程，有Js组件开发、Js性能优化经验者优先；",中文,2022-04-30,上海市浦东新区杨高南路1998号4号楼2楼,https://www.shixiseng.com/intern/inn_3bi00pyl48r8?pcm=pc_SearchList
互联网/IT,技术,技术管理,测试工程师,inn_x4sm6vu8l41h,18000,28000,应届生,毕业1年内,本科,带薪年假;年终奖;五险一金;定期团建;免费咖啡;绩效奖金;节日福利,数据库测试;测试,小牛在线,com_li1jijvu2gu9,小牛金服旗下普惠互联网金融平台,互联网/游戏/软件,民营企业,2000人以上,上海,空调;福利待遇好;待遇高,2021-12-10 18:05:30,,,," 
岗位要求
•   985或211计算机本科毕业
•   负责数据库内核及产品测试，包括功能测试、兼容性测试、性能测试、可靠性等；
•   参与产品设计讨论，根据产品需求设计与实现测试框架，对系统质量进行全面监控。
任职要求
•   一年以上基础软件测试开发经验；
•   掌握 Python / Go 等语言，掌握SQL；
•   思维缜密，逻辑严谨，自我驱动。",中文,2022-05-01,海淀区北清路103号,https://www.shixiseng.com/intern/inn_x4sm6vu8l41h?pcm=pc_SearchList
互联网/IT,技术,技术管理,技术支持工程师（软件）,inn_sbn906boa6c1,4000,8000,应届生,毕业1年内,大专,地铁周边;项目奖金;商业险;五险一金;年终奖;餐补,客户端;软件开发,安维尔,com_imyog9ebzugi,专注于港口、海关、机场、银行、教育等行业的视频AI场景覆盖，智能视频分析及视频监控产品这块。,互联网/游戏/软件,股份制企业,50-150人,上海市/上海,团队氛围好;双休日;项目超赞;学习机会;行业口碑;平台可靠,2022-01-26 20:11:38,,,,"1、负责本公司专项服务产品的实施与交付；
2、为已实施项目中产品提供售后技术支持工作，解决客户问题，及时沟通客户需求，确保客户业务正常运行；
3、协助研发团队排除用户使用环境中的问题和故障，重现客户使用问题；
4.、完成领导的其他工作。
 
任职资格：
1、专科以上学历，通信、电子工程、自动化、计算机等相关专业优先考虑；
2、熟悉和掌握各种计算机软硬件，可独立进行安装、调试及故障排除，基本编程者优先；
3、工作主动性强，有较强的分析问题、独立解决问题的能力；
4、能吃苦耐劳，可以出差，有积极向上的心态，愿意并善于学习；
5、餐补，出差补助，入职即缴纳五险一金，项目奖金，13薪；无经验优秀者可上岗培训；",中文,2022-04-26,悦蓝轩4号4-2-201,https://www.shixiseng.com/intern/inn_sbn906boa6c1?pcm=pc_SearchList
互联网/IT,技术,销售技术支持,茶艺师,inn_yplcblpcixrr,4000,8000,应届生,毕业1年内,大专,提供住宿;五险;餐补;工作环境好,零售;销售,会古轩,com_efpxekpfnrss,做茶我们是认真的,交通/贸易/物流,股份制企业,15-50人,广东/深圳,提供住宿或住;有餐补;工作环境好;成长空间大,2022-04-08 15:57:51, ,"1、会简单冲泡茶叶，懂得使用茶具，愿意学习相关茶艺知识。
2、对销售工作感兴趣，负责茶叶的销售和讲解。
3、为客人提供简单的产品讲解。
4、负责清洁茶具茶台卫生，保持茶室整洁。
 ","1、向往茶艺师行业发展，对茶艺感兴趣。
2、性格乐观开朗团结，服从上级领导工作安排。
3、在校期间就读茶相关专业优先。
4、善交际，形象气质佳。
薪资架构为：底薪＋提成"," 
岗位职责：
1、会简单冲泡茶叶，懂得使用茶具，愿意学习相关茶艺知识。
2、对销售工作感兴趣，负责茶叶的销售和讲解。
3、为客人提供简单的产品讲解。
4、负责清洁茶具茶台卫生，保持茶室整洁。
 
岗位要求：
1、向往茶艺师行业发展，对茶艺感兴趣。
2、性格乐观开朗团结，服从上级领导工作安排。
3、在校期间就读茶相关专业优先。
4、善交际，形象气质佳。
薪资架构为：底薪＋提成",中文,2022-06-30,深圳市南山区沙河街道深南大道锦绣桃园9001-5,https://www.shixiseng.com/intern/inn_yplcblpcixrr?pcm=pc_SearchList
互联网/IT,技术,通信技术,2022届校招—硬件测试工程师,inn_1tm8xr29mtle,10000,16000,应届生,,本科,五险一金;定期体检;生日福利,测试,时空道宇,com_xnleumfh1jd4,浙江时空道宇科技有限公司是吉利科技集团的一级新兴战略子公司,电子/通信/硬件,民营企业,150-500人,上海市/上海,双休&五险一金;规范化;高端人才合作,2021-08-24 12:48:18, ,"1.参与项目总体方案设计并根据总体方案，负责硬件的器件选型、原理图、PCB设计；
2.负责样机的硬件及整体的调试；
3.负责硬件相关的设计和技术文档的编写与整理；
4.负责产品测试，认证，试产和量产过程中相关硬件技术问题的跟踪解决；
5.负责技术传承和相关培训工作；
6.领导交办的其他任务。
 ","1.全日制本科及以上学历，通信、计算机、电子、微电子、仪器仪表相关专业毕业；
2有导航或通信类产品测试或开发相关工作经验者优先；
3.了解产品硬件基带，射频，可靠性等测试原理和测试标准，有信号完整性测试经验的优先；
4.了解是德(安捷伦)、泰克、NI等通用测试仪器操作与使用；
5.熟练使用办公软件Word、Excel、PowerPoint等；
6.掌握系统测试与评价技术、故障诊断与失效分析等相关知识；
7.具备良好沟通协调能力及团队协作、配合能力，责任心强，优秀抗压能力和较强质量意识。
 
 
公司福利：
1. 法定社会保险、公积金；
2. 医疗保险；
【受保人：员工自身及其配偶、子女、父母皆可得到保障，您的家人就是我们的家人】
【受保项目：意外医疗、重大疾病。避免因病致贫，让员工无后顾之忧】
【工龄满3年增加附加补充医疗】
3.假期项目；
【国家法定假、带薪年假、婚假、产假/陪产假/产检假/哺乳假、丧假、工伤假】
4.福利项目；
【节日福利、季度福利、生日福利、结婚福利、生育福利】
5.补贴项目；
【餐费补贴、交通补贴、通讯补贴、加班晚餐补贴/打车补贴】
6.其他福利项目；
【年度健康体检、旅游团建】
 
工作地点：上海·徐汇区·星联科技园 世界500强公司上海研发中心，非诚勿扰！"," 
岗位描述：
1.参与项目总体方案设计并根据总体方案，负责硬件的器件选型、原理图、PCB设计；
2.负责样机的硬件及整体的调试；
3.负责硬件相关的设计和技术文档的编写与整理；
4.负责产品测试，认证，试产和量产过程中相关硬件技术问题的跟踪解决；
5.负责技术传承和相关培训工作；
6.领导交办的其他任务。
 
任职要求:
1.全日制本科及以上学历，通信、计算机、电子、微电子、仪器仪表相关专业毕业；
2有导航或通信类产品测试或开发相关工作经验者优先；
3.了解产品硬件基带，射频，可靠性等测试原理和测试标准，有信号完整性测试经验的优先；
4.了解是德(安捷伦)、泰克、NI等通用测试仪器操作与使用；
5.熟练使用办公软件Word、Excel、PowerPoint等；
6.掌握系统测试与评价技术、故障诊断与失效分析等相关知识；
7.具备良好沟通协调能力及团队协作、配合能力，责任心强，优秀抗压能力和较强质量意识。
 
 
公司福利：
1. 法定社会保险、公积金；
2. 医疗保险；
【受保人：员工自身及其配偶、子女、父母皆可得到保障，您的家人就是我们的家人】
【受保项目：意外医疗、重大疾病。避免因病致贫，让员工无后顾之忧】
【工龄满3年增加附加补充医疗】
3.假期项目；
【国家法定假、带薪年假、婚假、产假/陪产假/产检假/哺乳假、丧假、工伤假】
4.福利项目；
【节日福利、季度福利、生日福利、结婚福利、生育福利】
5.补贴项目；
【餐费补贴、交通补贴、通讯补贴、加班晚餐补贴/打车补贴】
6.其他福利项目；
【年度健康体检、旅游团建】
 
工作地点：上海·徐汇区·星联科技园 世界500强公司上海研发中心，非诚勿扰！",中文,2022-06-30,上海·徐汇区·星联科技园,https://www.shixiseng.com/intern/inn_1tm8xr29mtle?pcm=pc_SearchList
