公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
,111医药馆,民营企业,150-500人,化工/能源/环保,5,北京,北京,7
,123kanfang,外资企业,15-50人,软件/互联网/游戏,15,上海,上海,9
,13media,民营企业,50-150人,传媒/广告/展览/公关,5,广东,广州,8
,2060Advisory,民营企业,少于15人,金融/经济/投资/财会,10,浙江,杭州,10
,21世纪教育研究院,,15-50人,教育/培训,14,北京,北京,9
,360数科,民营企业,2000人以上,软件/互联网/游戏,288,北京,北京,5
,365企业中心,民营企业,15-50人,咨询/企业服务,23,上海,上海,9
,3699,民营企业,15-50人,互联网/游戏/软件,16,陕西,西安,9
,3S-Lift,民营企业,500-2000人,汽车/机械/制造,41,北京,北京,6
,3Slift,股份制企业,150-500人,制造/汽车/机械,30,北京,北京,7
,3k游戏,民营企业,150-500人,互联网/游戏/软件,10,广东,广州,7
,4399游戏,民营企业,2000人以上,软件/互联网/游戏,118,广东省,广州市,5
,51WORLD,民营企业,500-2000人,软件/互联网/游戏,172,北京,北京,6
,720,民营企业,15-50人,互联网/游戏/软件,62,北京,北京,9
,77度全球家居先锋,民营企业,50-150人,软件/互联网/游戏,34,广东,广州,8
,86Research,民营企业,50-150人,基金/证券/期货/投资,6,上海,上海,8
,89Trillion,民营企业,150-500人,软件/互联网/游戏,199,北京,北京,7
,ABB,外资企业,2000人以上,企业服务/咨询,1,北京,北京,5
,ABC学习发展中心,民营企业,50-150人,教育/培训,9,广东,阳江,8
,ABT,外资企业,150-500人,制造/汽车/机械,25,广东,江门,7
,ACT,民营企业,15-50人,汽车/机械/制造,11,江苏,南京,9
,AGS,外资企业,50-150人,咨询/企业服务,24,上海,上海,8
,AKULAKU,民营企业,2000人以上,软件/互联网/游戏,742,广东,深圳,5
,AMD超威半导体,外资企业,2000人以上,电子/通信/硬件,34,上海,上海,5
,AMMI,民营企业,15-50人,汽车/机械/制造,8,上海,上海,9
,AMT,股份制企业,500-2000人,咨询/企业服务,27,上海,上海,6
,AMYGO AI,民营企业,500-2000人,互联网/游戏/软件,26,江苏,南通,6
,APUS,外资企业,150-500人,软件/互联网/游戏,128,北京,北京,7
,ASMAT,民营企业,少于15人,房产/家居/物业/建筑,16,北京,北京,10
,AST,民营企业,500-2000人,制造/汽车/机械,49,上海,上海,6
,ATL新能源科技,外资企业,2000人以上,汽车/机械/制造,34,福建,宁德,5
,AUX,民营企业,2000人以上,制造/汽车/机械,118,浙江,宁波,5
,AceCamp本营,外资企业,15-50人,金融/经济/投资/财会,18,北京,北京,9
,Acuity 锐识,外资企业,2000人以上,金融/经济/投资/财会,11,北京,北京,5
,Adradar,股份制企业,少于15人,互联网/游戏/软件,11,北京,北京,10
,Adswave,民营企业,15-50人,互联网/游戏/软件,16,广东,广州,9
,Agoda,外资企业,500-2000人,互联网/游戏/软件,11,上海,上海,6
,Aibee（爱笔智能）,民营企业,150-500人,软件/互联网/游戏,151,北京,北京,7
,Akuna Capital,外资企业,150-500人,投资/经济/财会/金融,39,上海,上海,7
,Alfa Laval,外资企业,2000人以上,环保/化工/能源,77,上海,上海,5
,AlphaSights,外资企业,500-2000人,咨询/企业服务,21,上海,上海,6
,Apple,民营企业,500-2000人,电子/通信/硬件,22,全国,,6
,Archibat HR Asia,民营企业,少于15人,企业服务/咨询,7,上海,上海,10
,ArtoryLab,股份制企业,少于15人,广告/传媒/公关/展览,15,上海,上海,10
,Arup,外资企业,2000人以上,企业服务/咨询,53,北京,北京,5
,Atman,民营企业,50-150人,软件/互联网/游戏,57,北京,北京,8
,Atomic,外资企业,150-500人,咨询/企业服务,18,上海,上海,7
,AtradiusCollections,外资企业,2000人以上,企业服务/咨询,11,上海,上海,5
,Avepoint,外资企业,500-2000人,软件/互联网/游戏,84,上海,上海,6
,BDA中国,,50-150人,金融/经济/投资/财会,11,北京,北京,8
,BECKHOFF,外资企业,150-500人,电子/通信/硬件,8,上海,上海,7
,BESTQI,民营企业,150-500人,贸易/交通/物流,48,广东,深圳市,7
,BETRUST,民营企业,少于15人,交通/贸易/物流,4,广东,深圳,10
,BE教育,民营企业,150-500人,培训/教育,18,上海,上海,7
,BHGE,外资企业,2000人以上,制造/汽车/机械,9,上海,上海,5
,BME柏美迪康,股份制企业,50-150人,环保/化工/能源,17,上海,上海,8
,BMO 加拿大蒙特利尔银行,外资企业,150-500人,金融/经济/投资/财会,7,北京,北京,7
,BOE,股份制企业,2000人以上,汽车/机械/制造,8,江苏,南京,5
,BUZZ公关,民营企业,15-50人,广告/传媒/公关/展览,48,上海,上海,9
,Beecoming,民营企业,少于15人,教育/培训,11,上海,上海,10
,Binarix,民营企业,50-150人,快消/百货/批发/零售,101,上海,上海,8
,Bying,民营企业,少于15人,快消/百货/批发/零售,10,广东,深圳,10
,C&R服装艺术,民营企业,少于15人,不限,20,北京,北京,10
,CAAChina,合伙企业,50-150人,广告/传媒/公关/展览,3,北京,北京,8
,CAMERICH锐驰,民营企业,500-2000人,房产/家居/物业/建筑,244,北京,北京,6
,CASA中国,外资企业,150-500人,电子/通信/硬件,162,广东省,广州市,7
,CBC,外资企业,2000人以上,金融/经济/投资/财会,7,江西,南昌,5
,CBD家居,民营企业,2000人以上,房产/家居/建筑/物业,90,广东,深圳,5
,CBS黑杉,民营企业,50-150人,企业服务/咨询,8,浙江,杭州,8
,CDG,外资企业,15-50人,广告/传媒/公关/展览,12,上海,上海,9
,CD视觉,民营企业,150-500人,不限,15,北京,北京,7
,CGP集团,外资企业,500-2000人,咨询/企业服务,129,全国,,6
,CGV影城郑州木色店,外资企业,15-50人,餐饮/酒店/旅游/娱乐,1,河南,郑州,9
,CIMI,民营企业,15-50人,互联网/游戏/软件,22,广东,深圳,9
,CPS,,15-50人,咨询/企业服务,23,上海,上海,9
,CQC,事业单位,500-2000人,不限,7,北京,北京,6
,CSDN,民营企业,150-500人,互联网/游戏/软件,19,湖南,长沙,7
,CVTE,股份制企业,2000人以上,软件/互联网/游戏,131,广东省/安徽省,广州市/合肥市,5
,Cabinet工作室,民营企业,少于15人,不限,19,北京,北京,10
,CarShow,民营企业,150-500人,教育/培训,23,广东,深圳,7
,CellX,民营企业,15-50人,生物/健康/制药/医疗,23,上海,上海,9
,Cino,民营企业,50-150人,交通/贸易/物流,7,广东,深圳,8
,Computershare,外资企业,50-150人,企业服务/咨询,4,北京,北京,8
,Conflux,民营企业,50-150人,软件/互联网/游戏,47,北京,北京,8
,Corigine,民营企业,150-500人,电子/通信/硬件,194,上海,上海,7
,Costa,外资企业,少于15人,餐饮/酒店/旅游/娱乐,24,上海,上海,10
,Covariant.AI,民营企业,50-150人,软件/互联网/游戏,44,广东,深圳,8
,Cupshe,民营企业,500-2000人,软件/互联网/游戏,100,江苏,南京,6
,D-coding,民营企业,50-150人,软件/互联网/游戏,85,上海,上海,8
,D5渲染器,民营企业,50-150人,软件/互联网/游戏,111,江苏,南京,8
,DDC天乐勤,民营企业,15-50人,教育/培训,6,北京,北京,9
,DEKRA德凯中国,外资企业,500-2000人,制造/汽车/机械,16,上海,上海,6
,DELL,外资企业,2000人以上,快消/百货/批发/零售,8,上海市,市辖区,5
,DFRobot,股份制企业,150-500人,电子/通信/硬件,9,上海,上海,7
,DL,民营企业,50-150人,互联网/游戏/软件,16,广东,深圳,8
,DXC Technology,外资企业,2000人以上,咨询/企业服务,60,全国,,5
,DermYoung,民营企业,15-50人,快消/百货/批发/零售,15,上海,上海,9
,Dezan Shira,民营企业,50-150人,金融/经济/投资/财会,12,北京,北京,8
,Distrii办伴,外资企业,150-500人,房产/家居/物业/建筑,114,上海,上海,7
,DolphinDB智臾科技,民营企业,50-150人,软件/互联网/游戏,127,浙江,杭州,8
,Dorabot,民营企业,150-500人,互联网/游戏/软件,12,广东,深圳,7
,DreiDTek德特克,外资企业,少于15人,汽车/机械/制造,13,上海,上海,10
,EF教育,外资企业,2000人以上,教育/培训,3,上海,上海,5
,EMC合毅,民营企业,少于15人,企业服务/咨询,23,上海市,市辖区,10
,EPAM,外资企业,2000人以上,软件/互联网/游戏,17,广东,深圳,5
,ESCO,外资企业,50-150人,生物/健康/制药/医疗,60,上海,上海,8
,Easyfinance,民营企业,50-150人,企业服务/咨询,43,上海,上海,8
,Ellipal,外资企业,50-150人,互联网/游戏/软件,18,广东,深圳,8
,Epoch 泊遥商务,合伙企业,少于15人,企业服务/咨询,15,上海,上海,10
,Etteplan,外资企业,150-500人,制造/汽车/机械,70,江苏,苏州,7
,FAFULI,外资企业,50-150人,金融/经济/投资/财会,17,上海,上海,8
,FESCO,民营企业,15-50人,咨询/企业服务,7,北京,北京,9
,FESCO Adecco,民营企业,150-500人,农林牧渔/其他,38,江苏省,苏州市,7
,FNA,外资企业,15-50人,企业服务/咨询,12,上海,上海,9
,FORCOME,股份制企业,150-500人,汽车/机械/制造,12,浙江,金华市,7
,FS飞速创新,民营企业,500-2000人,电子/通信/硬件,9,湖北,武汉,6
,Fastmarkets,外资企业,150-500人,企业服务/咨询,38,上海,上海,7
,Flat Incubator,民营企业,150-500人,互联网/游戏/软件,29,广东,广州,7
,Flex 伟创力,外资企业,150-500人,电子/通信/硬件,8,上海,上海,7
,Flow++,民营企业,50-150人,软件/互联网/游戏,133,北京,北京,8
,Flying Tiger,外资企业,50-150人,快消/百货/批发/零售,2,上海,上海,8
,Fordeal,民营企业,500-2000人,互联网/游戏/软件,50,广东,,6
,Fortune Career,民营企业,50-150人,咨询/企业服务,27,上海,上海,8
,Fotoo征集一下,民营企业,少于15人,互联网/游戏/软件,2,陕西,西安,10
,FreeTech,民营企业,500-2000人,软件/互联网/游戏,212,浙江,杭州,6
,GCGFYXGS,民营企业,2000人以上,汽车/机械/制造,11,山东,青岛,5
,GEA国际教育联盟,外资企业,150-500人,教育/培训,7,广东,广州,7
,GLG,民营企业,50-150人,企业服务/咨询,7,北京,北京,8
,GLOBALTALENT,合伙企业,15-50人,企业服务/咨询,3,上海,上海,9
,GP,外资企业,50-150人,电子/通信/硬件,34,广东,深圳,8
,GTI,民营企业,150-500人,咨询/企业服务,35,全国,,7
,Gekko Lab,民营企业,15-50人,互联网/游戏/软件,18,广东省,深圳市,9
,Gravitee新引力,民营企业,15-50人,培训/教育,21,广东,广州,9
,Greenland,民营企业,少于15人,广告/传媒/公关/展览,21,浙江,杭州,10
,Groupy,民营企业,15-50人,互联网/游戏/软件,13,广东,广州,9
,Guidepoint,外资企业,50-150人,企业服务/咨询,1,上海,上海,8
,HABBY,民营企业,50-150人,软件/互联网/游戏,83,北京,北京,8
,HAYS,,2000人以上,咨询/企业服务,33,上海,上海,5
,HEREidea,民营企业,50-150人,广告/传媒/公关/展览,17,北京,北京,8
,HHO,民营企业,50-150人,不限,18,浙江,杭州,8
,HME,外资企业,150-500人,汽车/机械/制造,108,上海,上海,7
,HOTO,股份制企业,150-500人,环保/化工/能源,313,上海,上海,7
,HRnetOne,中外合资企业,50-150人,咨询/企业服务,18,广东,深圳,8
,HSC China,外资企业,50-150人,投资/经济/财会/金融,115,上海,上海,8
,HYPERS,股份制企业,150-500人,互联网/游戏/软件,12,上海,上海,7
,HYlink,,150-500人,传媒/广告/展览/公关,82,上海,上海,7
,Haneo嗨优GBA,中外合资企业,15-50人,企业服务/咨询,16,上海,上海,9
,Henlius 复宏汉霖,外资企业,2000人以上,医疗/健康/制药/生物,4,上海,上海,5
,Hitenx,民营企业,50-150人,电子/通信/硬件,5,江苏省,无锡市,8
,HoLoCraft,民营企业,少于15人,互联网/游戏/软件,20,北京,北京,10
,Hudson,外资企业,150-500人,咨询/企业服务,10,上海,上海,7
,Hudsonrpo,外资企业,500-2000人,企业服务/咨询,11,上海,上海,6
,Huntsor,民营企业,50-150人,企业服务/咨询,3,北京,北京,8
,I.T,民营企业,2000人以上,快消/百货/批发/零售,12,北京,北京,5
,ICOOLTECH,民营企业,150-500人,生物/健康/制药/医疗,71,上海,上海,7
,IC实验室,民营企业,15-50人,软件/互联网/游戏,21,江苏,南京,9
,IDC咨询,外资企业,150-500人,电子/通信/硬件,12,,,7
,IFF国际香精香料-营养与生物科技,外资企业,2000人以上,生物/健康/制药/医疗,8,上海,上海,5
,IQVIA艾昆纬,外资企业,500-2000人,生物/健康/制药/医疗,324,上海,上海,6
,IRY,民营企业,500-2000人,互联网/游戏/软件,14,广东,广州,6
,ISS,外资企业,2000人以上,企业服务/咨询,4,上海,上海,5
,ITC,民营企业,2000人以上,电子/通信/硬件,15,江苏,,5
,IUG,民营企业,15-50人,房产/家居/物业/建筑,20,上海,上海,9
,Infor,外资企业,2000人以上,互联网/游戏/软件,10,上海市,市辖区,5
,Informa Markets,外资企业,150-500人,广告/传媒/公关/展览,2,上海,上海,7
,Inossem,民营企业,150-500人,互联网/游戏/软件,19,北京,北京,7
,Inspior亿心展览,民营企业,15-50人,广告/传媒/公关/展览,24,广东,深圳,9
,Insta360影石,民营企业,500-2000人,电子/通信/硬件,605,广东,深圳,6
,Interone,外资企业,50-150人,广告/传媒/公关/展览,16,北京,北京,8
,Intertrust Shanghai,外资企业,2000人以上,企业服务/咨询,1,上海,上海,5
,InvesTAO,外资企业,少于15人,金融/经济/投资/财会,7,上海,上海,10
,J&F,民营企业,50-150人,汽车/机械/制造,17,上海,上海,8
,JC Consulting,民营企业,15-50人,咨询/企业服务,18,北京,北京,9
,JE-Tech,民营企业,50-150人,电子/通信/硬件,13,上海,上海,8
,JOJW,民营企业,15-50人,互联网/游戏/软件,11,福建,厦门,9
,Judydoll橘朵,民营企业,150-500人,快消/百货/批发/零售,248,上海,上海,7
,K2软件,外资企业,150-500人,互联网/游戏/软件,32,上海,上海,7
,KEIPER,国有企业,2000人以上,制造/汽车/机械,60,上海,上海,5
,KOI,民营企业,500-2000人,餐饮/酒店/旅游/娱乐,2,上海,上海,6
,KOS高奥士猎头公司,外资企业,50-150人,企业服务/咨询,7,广东,深圳,8
,KPMG China 毕马威中国,外资企业,2000人以上,投资/经济/财会/金融,23,全国,,5
,KUKA,外资企业,500-2000人,制造/汽车/机械,195,上海,上海,6
,Kantar,民营企业,500-2000人,咨询/企业服务,32,上海,上海,6
,Kelly,民营企业,150-500人,金融/经济/投资/财会,13,上海,上海,7
,LANSGER Associat,民营企业,15-50人,咨询/企业服务,219,上海,上海,9
,LOOK·录客,事业单位,15-50人,教育/培训,20,北京,北京,9
,LYDZ,民营企业,15-50人,快消/百货/批发/零售,27,上海,上海,9
,Labbrand朗标,外资企业,50-150人,广告/传媒/公关/展览,13,上海,上海,8
,Leader  Associates,民营企业,50-150人,化工/能源/环保,15,上海,上海,8
,Leemoon时尚工作室,民营企业,少于15人,教育/培训,10,广东,深圳,10
,LinkedIn,民营企业,500-2000人,互联网/游戏/软件,14,北京,北京,6
,Lionbridge,外资企业,150-500人,互联网/游戏/软件,14,北京,北京,7
,Lookingpet,民营企业,15-50人,互联网/游戏/软件,13,广东,广州,9
,LynkGlobal,外资企业,150-500人,企业服务/咨询,6,上海,上海,7
,M+,民营企业,15-50人,传媒/广告/展览/公关,75,北京,北京,9
,MAPAL中国,外资企业,150-500人,汽车/机械/制造,23,全国,,7
,MCG,民营企业,50-150人,农林牧渔/其他,168,成都,成都,8
,MDPI,民营企业,500-2000人,农林牧渔/其他,216,北京,北京,6
,MGA上海瀚仕,民营企业,500-2000人,咨询/企业服务,444,全国,,6
,MINERVA,外资企业,15-50人,企业服务/咨询,32,上海,上海,9
,MINIEYE,民营企业,150-500人,软件/互联网/游戏,54,广东,深圳,7
,MKS,中外合资企业,150-500人,电子/通信/硬件,8,广东,深圳,7
,MNN,民营企业,50-150人,快消/百货/批发/零售,12,广东,广州,8
,MOKA茂佳,民营企业,500-2000人,制造/汽车/机械,77,广东,惠州,6
,MORUS,民营企业,15-50人,电子/通信/硬件,52,广东,深圳,9
,MOUSER ELECTRONICS,外资企业,50-150人,电子/通信/硬件,11,上海,上海,8
,MPS,民营企业,少于15人,交通/贸易/物流,6,广东,佛山,10
,MTM上海,外资企业,少于15人,企业服务/咨询,38,上海,上海,10
,MUJI,外资企业,2000人以上,快消/百货/批发/零售,9,上海,上海,5
,MaxieyeTech,民营企业,50-150人,电子/通信/硬件,24,上海,上海,8
,Medline,外资企业,150-500人,医疗/健康/制药/生物,14,上海,上海,7
,Melodong,外资企业,15-50人,互联网/游戏/软件,52,北京,北京,9
,MetaApp,民营企业,150-500人,软件/互联网/游戏,77,北京,北京,7
,Mindmotion灵动微,,50-150人,电子/通信/硬件,12,上海,上海,8
,Minerva咨询,民营企业,15-50人,企业服务/咨询,8,北京,北京,9
,Moonton,民营企业,150-500人,互联网/游戏/软件,18,上海,上海,7
,Multiable,外资企业,150-500人,软件/互联网/游戏,61,广东,广州市/深圳市,7
,NAVER China,外资企业,150-500人,互联网/游戏/软件,35,吉林,延边,7
,NEOWAVE,民营企业,15-50人,广告/传媒/公关/展览,21,上海,上海,9
,NORMCORE诺锞传媒,民营企业,50-150人,传媒/广告/展览/公关,23,上海,上海,8
,NOX,民营企业,150-500人,软件/互联网/游戏,96,北京,北京,7
,NTT通信系统,外资企业,50-150人,电子/通信/硬件,9,广东,广州,8
,NU SKIN,外资企业,500-2000人,农林牧渔/其他,26,上海,上海,6
,NVT,外资企业,2000人以上,电子/通信/硬件,4,广东,东莞市,5
,NXT智库,民营企业,15-50人,互联网/游戏/软件,11,上海,上海,9
,Nagamori-森永公司,民营企业,500-2000人,汽车/机械/制造,47,上海,上海,6
,Neo 智能经济,民营企业,150-500人,互联网/游戏/软件,16,上海,上海,7
,Nolibox,民营企业,50-150人,软件/互联网/游戏,55,北京,北京,8
,OAT,外资企业,少于15人,企业服务/咨询,14,上海,上海,10
,ODIN,民营企业,150-500人,软件/互联网/游戏,20,四川,四川,7
,OE,外资企业,50-150人,房产/家居/建筑/物业,24,浙江,金华,8
,ONES,民营企业,150-500人,软件/互联网/游戏,181,广东,深圳,7
,OPPO华中华东区,民营企业,2000人以上,快消/百货/批发/零售,153,湖南,长沙,5
,OPPO海外,民营企业,2000人以上,快消/百货/批发/零售,22,广东,深圳,5
,OTYPE,民营企业,150-500人,咨询/企业服务,28,上海,上海,7
,Onchain,民营企业,150-500人,软件/互联网/游戏,106,上海,上海,7
,Ontology本体,民营企业,50-150人,互联网/游戏/软件,33,上海,上海,8
,PINKO,外资企业,150-500人,快消/百货/批发/零售,4,上海,上海,7
,PKFARE比客,民营企业,150-500人,软件/互联网/游戏,34,广东省/北京市,深圳市/市辖区,7
,PPC佳生,外资企业,150-500人,生物/健康/制药/医疗,19,上海,上海,7
,PXLW,外资企业,150-500人,电子/通信/硬件,70,上海,上海,7
,PatPat,民营企业,500-2000人,软件/互联网/游戏,73,广东,深圳,6
,Pick & Enlarge,股份制企业,15-50人,广告/传媒/公关/展览,20,上海,上海,9
,Plastic Omnium,外资企业,2000人以上,汽车/机械/制造,29,上海,上海,5
,Profile Asia,民营企业,50-150人,咨询/企业服务,77,上海,上海,8
,QAD,外资企业,500-2000人,互联网/游戏/软件,20,上海,上海,6
,QHZ,民营企业,15-50人,化工/能源/环保,1,陕西,西安,9
,QUNION群勤,民营企业,50-150人,广告/传媒/公关/展览,33,上海,上海,8
,RCC瑞达恒,民营企业,500-2000人,软件/互联网/游戏,152,广东,广州,6
,RGF,民营企业,150-500人,软件/互联网/游戏,46,上海,上海,7
,RH,民营企业,50-150人,咨询/企业服务,36,上海,上海,8
,RIO鸡尾酒,民营企业,500-2000人,快消/百货/批发/零售,207,上海,上海,6
,RSM容诚,合伙企业,2000人以上,企业服务/咨询,5,广东,广州,5
,RTPLUS,民营企业,15-50人,互联网/游戏/软件,57,广东,广州,9
,Rainbow,外资企业,50-150人,房产/家居/物业/建筑,11,广东,东莞市,8
,RayTech Group,民营企业,2000人以上,互联网/游戏/软件,7,广东,深圳,5
,RealAI,民营企业,50-150人,软件/互联网/游戏,55,北京,北京,8
,RedFern Digital,外资企业,15-50人,广告/传媒/公关/展览,68,上海,上海,9
,Restar games,民营企业,50-150人,互联网/游戏/软件,33,北京,北京,8
,Riot Games拳头游戏,外资企业,2000人以上,互联网/游戏/软件,24,上海,上海,5
,Rockey,股份制企业,150-500人,软件/互联网/游戏,117,北京,北京,7
,Rolls-Royce China,外资企业,500-2000人,制造/汽车/机械,9,北京市/上海市,市辖区,6
,Roys乐亦思,民营企业,50-150人,培训/教育,21,浙江,杭州,8
,SAIIA,社会团体,15-50人,不限,16,广东,深圳,9
,SALUS莎露斯北京,外资企业,15-50人,不限,11,北京,北京,9
,SAS,外资企业,150-500人,咨询/企业服务,83,全国,,7
,SDMC华曦达,股份制企业,150-500人,电子/通信/硬件,190,广东,深圳,7
,SGMW,外资企业,2000人以上,汽车/机械/制造,51,广西壮族自治区,柳州市,5
,SGS通标,外资企业,2000人以上,公共事业/NGO/政府,6,上海,上海,5
,SIEMENS-SFAE,外资企业,500-2000人,汽车/机械/制造,9,北京,北京,6
,ST 意法半导体,外资企业,150-500人,电子/通信/硬件,65,上海市,市辖区,7
,Sandalwood Advisors,股份制企业,50-150人,金融/经济/投资/财会,19,香港,长沙市,8
,ScaleFlux,外资企业,150-500人,电子/通信/硬件,59,上海,上海,7
,Schenck,外资企业,150-500人,汽车/机械/制造,13,上海,上海,7
,Shoome,民营企业,15-50人,企业服务/咨询,12,上海,上海,9
,Siemens Healthineers,外资企业,2000人以上,生物/健康/制药/医疗,164,上海,上海,5
,Simba Events,民营企业,50-150人,咨询/企业服务,611,上海,上海,8
,SmarterMobi,民营企业,15-50人,软件/互联网/游戏,20,广东,深圳,9
,Soar,民营企业,150-500人,互联网/游戏/软件,11,上海,上海,7
,Softing,外资企业,50-150人,电子/通信/硬件,53,上海,上海,8
,SoftwareONE,外资企业,500-2000人,互联网/游戏/软件,22,上海,上海,6
,StanleyBlac&Decker,外资企业,150-500人,汽车/机械/制造,24,上海,上海,7
,Staples,外资企业,50-150人,农林牧渔/其他,7,广东,深圳市,8
,StayGold瑜光,民营企业,50-150人,快消/百货/批发/零售,29,上海,上海,8
,Sungenius,民营企业,15-50人,广告/传媒/公关/展览,38,上海,上海,9
,Synopsys,外资企业,500-2000人,电子/通信/硬件,32,上海,上海,6
,TBA,民营企业,150-500人,广告/传媒/公关/展览,25,北京市,市辖区,7
,TCL,民营企业/外资企业,2000人以上,通信/汽车/机械/电子/硬件/制造,220,广东省/广东,深圳市/惠州,5
,TCL华星光电,民营企业,2000人以上,电子/通信/硬件,52,广东,深圳,5
,TCL华瑞照明,民营企业,500-2000人,汽车/机械/制造,12,广东,惠州,6
,TCL白家电,民营企业,2000人以上,汽车/机械/制造,85,安徽,合肥,5
,TCL金控,民营企业,500-2000人,金融/经济/投资/财会,26,广东省,广州市,6
,TOPJOY,民营企业,500-2000人,互联网/游戏/软件,217,北京,北京,6
,TUV北德,外资企业,150-500人,环保/化工/能源,37,上海,上海,7
,TW,民营企业,15-50人,企业服务/咨询,9,上海,上海,9
,Talent Lead,民营企业,15-50人,咨询/企业服务,19,上海,上海,9
,Talents Matrix,民营企业,少于15人,咨询/企业服务,59,北京,北京,10
,Teneo,外资企业,500-2000人,企业服务/咨询,5,上海,上海,6
,Teradyne,外资企业,150-500人,电子/通信/硬件,66,上海,上海,7
,Tesla,外资企业,2000人以上,汽车/机械/制造,29,全国,,5
,The Beijing Center,民营企业,15-50人,教育/培训,25,北京,北京,9
,Tim Hortons,民营企业,150-500人,旅游/酒店/餐饮/娱乐,6,上海,上海,7
,Tophatter,外资企业,50-150人,互联网/游戏/软件,18,上海,上海,8
,TouchData,民营企业,50-150人,互联网/游戏/软件,33,全国,,8
,Tricor&Alphalink,中外合资企业,2000人以上,投资/经济/财会/金融,15,全国,,5
,Truper,民营企业,50-150人,交通/贸易/物流,22,上海,上海,8
,UBNT,民营企业,150-500人,互联网/游戏/软件,18,上海,上海,7
,UDS优集工业软件,民营企业,150-500人,软件/互联网/游戏,92,上海,上海,7
,UJOIN雅居,民营企业,15-50人,房产/家居/物业/建筑,36,上海,上海,9
,UMS,民营企业,15-50人,互联网/游戏/软件,15,浙江,宁波,9
,UNQ,外资企业,500-2000人,快消/百货/批发/零售,68,上海,上海,6
,UR,民营企业,2000人以上,快消/百货/批发/零售,82,,,5
,Unity,外资企业,2000人以上,互联网/游戏/软件,19,上海,上海,5
,VDE环球服务广州分公司,外资企业,50-150人,企业服务/咨询,7,广东,广州,8
,VDE鉴衡认证,外资企业,50-150人,电子/通信/硬件,15,广东,中山市,8
,VMware,外资企业,2000人以上,软件/互联网/游戏,34,北京,北京,5
,VOYAGE泛远求职,民营企业,15-50人,培训/教育,30,上海,上海,9
,Veeva,外资企业,2000人以上,互联网/游戏/软件,9,全国,,5
,Vestas维斯塔斯,外资企业,2000人以上,环保/化工/能源,47,天津,天津,5
,Virtueal,民营企业,50-150人,互联网/游戏/软件,17,北京,北京,8
,Vista看天下,民营企业,50-150人,传媒/广告/展览/公关,122,北京,北京,8
,WITS,民营企业,50-150人,企业服务/咨询,12,全国,,8
,Wayfair,外资企业,150-500人,互联网/游戏/软件,64,上海,上海,7
,WeLab,民营企业,500-2000人,互联网/游戏/软件,35,广东,深圳市,6
,WeR4edu·教育公益,社会团体,15-50人,公共事业/NGO/政府,5,四川,成都市,9
,WhiteWong,民营企业,50-150人,快消/百货/批发/零售,41,福建,厦门,8
,Win-Fly,合伙企业,15-50人,传媒/广告/展览/公关,54,湖北,武汉,9
,Wiseman,民营企业,15-50人,软件/互联网/游戏,16,北京,北京,9
,XMind,民营企业,50-150人,软件/互联网/游戏,40,广东省,深圳市,8
,Xeno Dynamics,民营企业,50-150人,制造/汽车/机械,60,广东,深圳,8
,YFAM,中外合资企业,150-500人,汽车/机械/制造,53,上海,上海,7
,Yeahmobi,股份制企业,500-2000人,软件/互联网/游戏,102,陕西,西安,6
,ZARA,外资企业,2000人以上,快消/百货/批发/零售,64,上海,上海,5
,ZDL,民营企业,500-2000人,企业服务/咨询,7,江苏,南通,6
,ZILLIZ,民营企业,50-150人,企业服务/咨询,17,上海,上海,8
,ZURU,民营企业,2000人以上,快消/百货/批发/零售,15,广东,深圳,5
,Zuvi原里,外资企业,50-150人,电子/通信/硬件,43,广东,深圳,8
,ablejeans,民营企业,500-2000人,快消/百货/批发/零售,7,上海,上海,6
,altPlus,外资企业,15-50人,房产/家居/物业/建筑,33,上海,上海,9
,alva,民营企业,50-150人,互联网/游戏/软件,33,北京,北京,8
,amanacliq,民营企业,50-150人,广告/传媒/公关/展览,8,上海,上海,8
,autowise.ai,民营企业,50-150人,软件/互联网/游戏,250,上海,上海,8
,blue-dot,民营企业,50-150人,广告/传媒/公关/展览,6,北京,北京,8
,careerfocus,民营企业,150-500人,咨询/企业服务,18,上海,上海,7
,carhs,民营企业,15-50人,企业服务/咨询,9,上海,上海,9
,degson高松,外资企业,2000人以上,电子/通信/硬件,34,浙江,宁波,5
,ePropulsion,中外合资企业,150-500人,电子/通信/硬件,45,广东,东莞市,7
,eTOC,合伙企业,少于15人,企业服务/咨询,13,上海,上海,10
,emotionFuture,民营企业,少于15人,不限,35,上海,上海,10
,e乡e家,民营企业,50-150人,互联网/游戏/软件,24,北京,北京,8
,e互助,民营企业,50-150人,互联网/游戏/软件,3,广东省,广州市,8
,iCDC创意国际设计顾问,民营企业,少于15人,房产/家居/物业/建筑,9,广东,深圳,10
,iDaily Media,股份制企业,15-50人,互联网/游戏/软件,84,上海,上海,9
,iData,民营企业,150-500人,电子/通信/硬件,514,广东,深圳,7
,iGDP,民营企业,15-50人,化工/能源/环保,7,北京,北京,9
,iVX,民营企业,15-50人,互联网/游戏/软件,52,广东,广州,9
,itc,民营企业,2000人以上,不限,30,广东,广州,5
,i换电,股份制企业,50-150人,化工/能源/环保,11,北京,北京,8
