公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
,拓拔体育,民营企业,50-150人,教育/培训,12,江苏省,南京市,8
,拓百科技,民营企业,150-500人,互联网/游戏/软件,20,云南,昆明,7
,拓维信息,民营企业,2000人以上,互联网/游戏/软件,294,湖南,长沙,5
,拓驰猎头,民营企业,50-150人,电子/通信/硬件,9,北京,北京,8
,招商信诺,外资企业,2000人以上,投资/经济/财会/金融,48,全国,,5
,招商平安资产,民营企业,50-150人,金融/经济/投资/财会,42,广东,,8
,招商蛇口,国有企业,150-500人,房产/家居/物业/建筑,10,广东,珠海,7
,招银云创,股份制企业,500-2000人,软件/互联网/游戏,47,湖北,武汉,6
,拜赋科技,民营企业,少于15人,医疗/健康/制药/生物,7,四川,四川,10
,择览铁路,民营企业,500-2000人,贸易/交通/物流,10,河北,石家庄,6
,拱东医疗,股份制企业,500-2000人,医疗/健康/制药/生物,33,浙江,台州,6
,拾捌财,民营企业,15-50人,企业服务/咨询,13,云南,昆明,9
,拿特资产,民营企业,15-50人,金融/经济/投资/财会,25,上海,上海,9
,振华重工,外资企业,150-500人,电子/通信/硬件,526,上海,上海,7
,振弘商务,民营企业,少于15人,企业服务/咨询,17,安徽,合肥,10
,捷升通达,民营企业,15-50人,汽车/机械/制造,63,北京,北京,9
,捷安高科,股份制企业,150-500人,电子/通信/硬件,13,河南,郑州,7
,捷强烟草连锁,国有企业,500-2000人,快消/百货/批发/零售,10,上海,上海,6
,捷昌驱动,股份制企业,2000人以上,制造/汽车/机械,85,浙江,绍兴,5
,捷普无锡,外资企业,2000人以上,制造/汽车/机械,51,江苏,无锡市,5
,捷氢科技,国有企业,150-500人,汽车/机械/制造,5,上海,上海,7
,捷涌科技,民营企业,50-150人,互联网/游戏/软件,6,上海,上海,8
,捷通,民营企业,500-2000人,电子/通信/硬件,44,北京,北京,6
,掌昆科技,民营企业,150-500人,互联网/游戏/软件,22,广东,广州,7
,掌纹科技,民营企业,15-50人,互联网/游戏/软件,34,四川,四川,9
,掌维科技,民营企业,50-150人,软件/互联网/游戏,33,浙江,杭州,8
,探迹,民营企业,150-500人,互联网/游戏/软件,15,广东,广州,7
,揭阳北控水务,国有企业,2000人以上,化工/能源/环保,1,广东,揭阳,5
,摩尔线程,民营企业,150-500人,电子/通信/硬件,209,北京,北京,7
,摩尔芯光,民营企业,15-50人,电子/通信/硬件,68,北京,北京,9
,摩登公寓,,15-50人,房产/家居/物业/建筑,19,江苏省,南京市,9
,摩航时代 ,民营企业,150-500人,软件/互联网/游戏,105,广东,广州,7
,摩莎MOXA,外资企业,50-150人,电子/通信/硬件,63,上海,上海,8
,摩通传动,民营企业,15-50人,汽车/机械/制造,7,广东,深圳,9
,擎天柱基金,民营企业,15-50人,金融/经济/投资/财会,7,北京,北京,9
,收收科技,民营企业,50-150人,互联网/游戏/软件,10,广东省,深圳市,8
,政采云,民营企业,500-2000人,互联网/游戏/软件,3,浙江,杭州,6
,敏实集团,外资企业,2000人以上,制造/汽车/机械,36,浙江/全国,嘉兴,5
,敏实集团精确实业,民营企业,2000人以上,制造/汽车/机械,43,浙江,嘉兴,5
,敏捷建筑,民营企业,2000人以上,房产/家居/物业/建筑,6,广东,广州,5
,敦信资产,民营企业,15-50人,金融/经济/投资/财会,11,浙江,杭州,9
,敦方私募基金,合伙企业,少于15人,投资/经济/财会/金融,41,上海,上海,10
