公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
华润置地,华润置地（上海）,民营企业,150-500人,物业/家居/房产/建筑,87,上海市/浙江省,温州市,4
卓越商企服务,卓越商企服务,民营企业,2000人以上,房产/家居/物业/建筑,61,全国,,2
德佑,南京德佑仁恒公园世纪店,民营企业,15-50人,房产/家居/物业/建筑,12,江苏,南京,1
宝马,南充通源宝马,民营企业,150-500人,汽车/机械/制造,21,四川,南充,1
南方基金,南方基金,国有企业,500-2000人,投资/财会/经济/金融,102,广东,深圳,1
北京视博云科技,博云,民营企业,500-2000人,游戏/软件/互联网,663,江苏,苏州,4
博彦科技,博彦科技,民营企业,500-2000人,游戏/软件/互联网,34,广东省,广州市,4
叠纸游戏,叠纸游戏,民营企业,500-2000人,游戏/软件/互联网,546,上海,上海,1
叮咚买菜,叮咚买菜,民营企业,2000人以上,游戏/软件/互联网,225,全国,,2
合富置业,合富置业,民营企业,2000人以上,物业/家居/房产/建筑,24,广东省,广州市,1
吉利汽车,吉利,民营企业,2000人以上,汽车/机械/制造,63,山东,淄博,1
吉比特,吉比特,股份制企业,500-2000人,游戏/软件/互联网,362,福建,厦门市/深圳市/广州市,2
同仁堂,同仁堂医养集团,国有企业,50-150人,企业服务/咨询,235,北京,北京,1
同心动力,同心,民营企业,500-2000人,百货/快消/批发/零售,26,全国,,2
周生生,周生生,民营企业,2000人以上,其他/农林牧渔,61,广东省,佛山市/广州市,2
呷哺呷哺,呷哺呷哺,民营企业,2000人以上,酒店/娱乐/餐饮/旅游,65,天津,天津,1
Bilibili（哔哩哔哩）/哔哩哔哩,哔哩哔哩,民营企业,2000人以上,游戏/软件/互联网,71,上海,上海,4
哪吒汽车,哪吒汽车,民营企业,2000人以上,制造/汽车/机械,146,上海,上海,1
嘉事堂,嘉事堂药业,股份制企业,2000人以上,医疗/健康/制药/生物,21,北京,北京,1
德佑,嘉仕行德佑地产,民营企业,50-150人,物业/家居/房产/建筑,23,天津,天津,1
嘉士伯,嘉士伯啤酒 ,外资企业,2000人以上,百货/快消/批发/零售,84,广东,广州,2
嘉楠耘智,嘉楠,民营企业,150-500人,电子/通信/硬件,355,北京,北京,2
国信证券,国信证券浙江分公司,国有企业,500-2000人,投资/财会/经济/金融,16,浙江,杭州市,1
国泰君安,国泰君安,股份制企业,少于15人,金融/经济/投资/财会,10,广东省,深圳市,1
国泰君安,国泰君安北京望京营业部,股份制企业,2000人以上,金融/经济/投资/财会,38,北京,北京,1
