"所属公司","公司性质","公司规模","公司所在行业","公司所在地","职位所在地","JD数量"
"乐有家","民营企业","2000人以上","房产/家居/物业/建筑","广东","湖南省长沙市岳麓麓谷大道658号露谷信息港B座6楼乐有家","37"
"慕可生物","民营企业","2000人以上","互联网/游戏/软件","广东/广州","广州黄埔区凡岛网络黄埔区科学大道18号芯大厦B座凡岛网络","213"
"真机智能","民营企业","15-50人","互联网/游戏/软件","北京市/北京","北京市海淀区中关村智造大街D座510室","516"
"泉州红杉根众创贸易有限公司","民营企业","500-2000人","交通/贸易/物流","福建","华大泰禾广场SOHO1座","10"
"迅雷网络","民营企业","500-2000人","互联网/游戏/软件",,"粤海街道高新区科技南路18号深圳湾科技生态园12栋B座21层","239"
"小希","民营企业","2000人以上","互联网/游戏/软件","广东/广州","广东省广州市黄埔区科学大道18号芯大厦B座整栋","51"
"上海星云爱店科技有限公司","民营企业","15-50人","互联网/游戏/软件","上海市/上海","浦东新区纳贤路800号","4"
"上海链家","民营企业","2000人以上","房产/家居/物业/建筑","上海","上海市均可安排","5"
"若羽臣","股份制企业","500-2000人","互联网/游戏/软件","广东/广州","高德置地冬广场G座32层","19"
"叮咚买菜","民营企业","2000人以上","互联网/游戏/软件","全国","上海市浦东新区叮咚买菜总部6号楼","21"
"融创青岛公司","民营企业","2000人以上","房产/家居/物业/建筑","山东/青岛","青岛市崂山区","135"
"码粒教育","民营企业","150-500人","教育/培训","上海市/上海","上海市徐汇区衡山路237号","27"
"太力集团","民营企业","500-2000人","快消/百货/批发/零售","广东","广东省中山市石岐区湖滨北路40号太力集团","208"
"中建电商","国有企业","150-500人","互联网/游戏/软件","四川/成都","四川省成都市武侯区天府二街领地环金中心36楼","31"
"梵库","民营企业","15-50人","快消/百货/批发/零售","上海市/上海","金沙江路1038号17层","10"
"因原网络传媒","民营企业","15-50人","不限","湖南/衡阳","湖南省衡南县云集镇云集大道269号","77"
"五年栗","民营企业","15-50人","电子/通信/硬件","广东/广州","广东省广州市番禺区小谷围街道大学城外环西路100号ic基地312","48"
"波士顿比邻科技 ","民营企业","15-50人","互联网/移动互联网/电子商务","湖北/武汉","武汉市江汉区泛海国际SOHO城4栋","14"
"孩子王","外资企业","2000人以上","快消/百货/批发/零售",,"江西省抚州市临川区硕果时代2F孩子王","12"
"Conflux","民营企业","50-150人","互联网/游戏/软件","北京市/北京","海淀区清华同方科技广场D座6层","13"
"昊博集团","民营企业","2000人以上","金融/经济/投资/财会","广东/深圳","郑州市高新区红松路1号中国（郑州）智能传感谷","8"
"前海亚讯","民营企业","500-2000人","互联网/游戏/软件","陕西/西安","西安市雁塔区科技二路捷普大厦5楼","41"
"乐有家","民营企业","2000人以上","房产/家居/物业/建筑","广东","深圳市福田区八卦路安吉尔大厦15-16楼。","54"
"中城新产业","民营企业","150-500人","房产/家居/物业/建筑","广东/深圳","深圳（宝安、坪山、西丽）、广州增城新塘等","8"
"乐有家","民营企业","2000人以上","房产/家居/物业/建筑",,"深圳市福田区八卦路安吉尔大厦15楼乐有家控股集团","53"
"夏歌","民营企业","500-2000人","互联网/游戏/软件","湖北/武汉","湖北省武汉市洪山区光谷创业街海达创新广场20楼2003室","5"
"国器智城","民营企业","50-150人","电子/通信/硬件","江苏/南京","南京市建邺区庐山路168号新地中心二期908室","42"
"匠寓","民营企业","150-500人","房产/家居/物业/建筑","辽宁/大连","高新园区7号国际商业中心","27"
"RTPLUS","民营企业","15-50人","互联网/游戏/软件","广东/广州","广东省广州市天河区沙太南路59号联盾空间2层","57"
"陕西聚信长安信息咨询有限公司","民营企业","50-150人","金融/经济/投资/财会","陕西/西安","陕西省西安市碑林区党校","12"
"理然","民营企业","150-500人","快消/百货/批发/零售","广东/深圳","彩田路3006号小元里4楼","6"
"微派网络","民营企业","150-500人","互联网/游戏/软件","湖北","东湖新技术开发区关山大道保利国际中心","154"
"摩航时代 ","民营企业","150-500人","互联网/游戏/软件","广东/广州","广州市海珠区琶洲中洲交易中心8楼822","60"
"贵阳百捷","事业单位","50-150人","快消/百货/批发/零售","贵州/贵阳","贵阳市南明区都司路中天商务港24楼A室","38"
"年糕妈妈","民营企业","150-500人","互联网/游戏/软件","杭州","杭州市西湖区莲花商务中心A座7楼","7"
"北京都有科技有限公司","民营企业","50-150人","金融/经济/投资/财会","北京市/北京","北京市朝阳区东八里庄住邦20004号楼907室","11"
"苡桐网络","民营企业","少于15人","互联网/游戏/软件","浙江/杭州","未来科技城奥克斯中心5幢","6"
"实习僧校招内推助手","民营企业","50-150人","互联网/游戏/软件","北京市",,"203"
"Simba Events","民营企业","50-150人","企业服务/咨询","上海市/上海","上海市闵行区七宝镇新镇路1459弄6号宝龙城T9号楼801室","132"
"洽洽食品","民营企业","2000人以上","快消/百货/批发/零售","合肥","合肥市经开区莲花路1307号","146"
"纵情向前","民营企业","500-2000人","互联网/游戏/软件","北京","利泽中路2号望京科技园C座","178"
"维信诺","股份制企业","2000人以上","电子/通信/硬件","江苏/苏州","新兴产业示范区","72"
"广州罗拉信息科技有限公司","民营企业","150-500人","互联网/游戏/软件","广东/广州","广东省广州市天河区时代E-PARK-7栋703+706室","14"
"澳鹏","外资企业","500-2000人","互联网/游戏/软件","辽宁/大连","辽宁省大连市高新园区浦项IT中心F9","17"
"帆软软件","民营企业","500-2000人","互联网/游戏/软件","江苏/无锡","杭州市江干区东宁路677号东宁金座1栋1011","27"
"浪潮","民营企业","2000人以上","互联网/游戏/软件","济南","浪潮科技园","12"
"中视前卫","国有企业","2000人以上","广告/传媒/公关/展览","北京市/北京","呼家楼锐创大厦11层","12"
"高昇桥教育","民营企业","少于15人","教育/培训","成都","成都市高新区梓州大道6800号微企创意中心2楼213","12"
"微派网络","民营企业","150-500人","互联网/游戏/软件","湖北","东湖新技术开发区关山大道保利国际中心15楼微派网络","77"
"海腾娱乐","民营企业","150-500人","广告/传媒/公关/展览","安徽/淮南","金湾香都原接待中心，文汇幼儿园对面","10"
"华人运通（高合汽车）","民营企业","2000人以上","汽车/机械/制造","上海市/上海","浦江镇万芳路1339号","89"
"有象智联科技","民营企业","15-50人","汽车/机械/制造","广东/广州","广州市白云区云城东路1998号","16"
"蜜堂有信","民营企业","15-50人","企业服务/咨询","北京市/北京","北京 - 朝阳区 - 大望路- 光华路甲8号和乔大厦C座1508","33"
"麦田房产","民营企业","2000人以上","房产/家居/物业/建筑","北京市","朝阳区望京绿地中心B座8层","20"
"出众集团","民营企业","150-500人","餐饮/酒店/旅游/娱乐","佛山","上海徐家汇","27"
"悟空世纪","合伙企业","50-150人","不限","四川/成都","线上线下都可","59"
"万象品策","民营企业","15-50人","互联网/游戏/软件","广东/深圳","深圳市南山区南头街道豪方天际广场1902","48"
"汇希洋","民营企业","15-50人","互联网/游戏/软件","天津市/天津","正融科技大厦","27"
"出众集团","民营企业","150-500人","餐饮/酒店/旅游/娱乐","佛山","南山软件园","17"
"掌维科技","民营企业","50-150人","互联网/游戏/软件","浙江/杭州","杭州市上城区虎玉路41号思美传媒西楼","24"
"前海开源基金","民营企业","150-500人","金融/经济/投资/财会","深圳","深圳市福田区深南大道7006号万科富春东方大厦22楼","24"
"明基BenQ","民营企业","150-500人","互联网/游戏/软件","苏州","江苏省苏州市高新区竹园路181号","473"
"微聚美科技","民营企业","少于15人","互联网/游戏/软件","广东/深圳","深圳湾生态科技园9栋A座3003b","30"
"精通学堂","民营企业","500-2000人","教育/培训","天津市/天津","天津市南开区格调中心5层精通学堂","15"
"雅各贸易","民营企业","15-50人","互联网/游戏/软件","长沙","芙蓉区维一星城国际1508","23"
"正和承邦","民营企业","50-150人","快消/百货/批发/零售","江苏/南京","建邺区艺树家工场403室","53"
"Binarix","民营企业","50-150人","快消/百货/批发/零售","上海市/上海","上海广场","13"
"Simba Events","民营企业","50-150人","企业服务/咨询","上海市/上海","上海市闵行区七宝镇新镇路1459弄6号宝龙城T9号楼8层（801、802、803室，前台在802室）","51"
"德锐咨询","民营企业","50-150人","企业服务/咨询","江苏/南京","江西省南昌市青山湖区高新技术区紫阳大道3399号云中城B座50~51层","22"
"飞博共创","股份制企业","150-500人","互联网/游戏/软件","福建/厦门","厦门市湖里区护安路76号飞鱼大厦B栋6-10层","70"
"中教在线","事业单位","500-2000人","教育/培训","广东/广州","广州市天河区科韵路数码港","11"
"一点资讯","民营企业","500-2000人","互联网/游戏/软件",,"北京市朝阳区酒仙桥北路 9 号（恒通国际创新园） C7 栋南侧","673"
"帆软软件","民营企业","500-2000人","互联网/游戏/软件","江苏/无锡","南京市玄武区卫岗街道童卫路5号南理工科技创新园4号楼4层","532"
"大希地","民营企业","500-2000人","快消/百货/批发/零售","浙江/杭州","浙江省杭州市西湖区西溪龙湖天街8楼810","140"
"上海青旅国际货运有限公司","民营企业","150-500人","交通/贸易/物流","上海市/上海","徐汇区肇嘉浜路376号9楼","37"
"数智医疗","民营企业","50-150人","医疗/健康/制药/生物","深圳","深圳湾创业投资大夏","41"
"联合优创","外资企业","50-150人","互联网/游戏/软件",,"福建省厦门市思明区软件园二期望海路14-1号3层","30"
"旁白VoiceOver","民营企业","少于15人","不限","北京市/北京","北京望京朝庭公寓","11"
"旁白VoiceOver","民营企业","少于15人","不限","北京市/北京","朝阳区望京","16"
"增长公司","民营企业","15-50人","互联网/游戏/软件","广东/深圳","广东省深圳市宝安区西乡街道臣田社区宝民二路182号东方商务大厦（创富港众创空间）三楼","17"
"胜泓国际","民营企业","15-50人","互联网/游戏/软件","广东/深圳","腾飞大厦","154"
"凌巨科技","股份制企业","15-50人","互联网/游戏/软件","浙江/嘉兴","嘉兴智慧产业创新园11号楼10楼1001室","10"
"长沙潞帆","民营企业","50-150人","不限","湖南/长沙","长沙市岳麓区银盆南路奥克斯广场环球b座825","36"
"幼狮传播","民营企业","少于15人","广告/传媒/公关/展览","上海","上海黄浦区巨鹿路417号606","48"
"广州乐牛","民营企业","150-500人","互联网/游戏/软件","广东/广州","琶洲街道新港东路2519号工美港国际数字创新中心23号2楼","150"
"上海炬欣文化","民营企业","50-150人","广告/传媒/公关/展览","全国","上海市徐汇区零陵路899号飞洲国际大厦30G","36"
"Binarix","民营企业","50-150人","快消/百货/批发/零售","上海市/上海","黄浦区上海广场","74"
"Restar games","民营企业","50-150人","互联网/游戏/软件","北京市/北京","北京市朝阳区东土城路12号怡和阳光大厦C座11层1102","33"
"胜泓国际","民营企业","15-50人","互联网/游戏/软件","广东/深圳","新海大厦","163"
"鑫伟创富","民营企业","50-150人","快消/百货/批发/零售","广东/广州","名汇广场720","41"
"出众集团","民营企业","150-500人","餐饮/酒店/旅游/娱乐","佛山","北京海银大厦","25"
"行丰银拓","民营企业","150-500人","互联网/游戏/软件","北京市/北京","北京市大兴区星光影视园10号楼2层","25"
"吉比特","股份制企业","500-2000人","互联网/游戏/软件","福建","深圳市南山区方大城T2 17楼吉比特公司","250"
