"所属公司","公司性质","公司规模","公司所在行业","公司所在地","职位所在地","JD数量"
"医药魔方","民营企业","150-500人","医疗/健康/制药/生物","北京市/北京","上海市张江浦东软件园亮秀路112号Y1座","73"
"360数科","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","北京市朝阳区酒仙桥360大厦","25"
"厦门真有趣游戏","民营企业","150-500人","网络游戏","福建/厦门","福建厦门市集美区浦公山西路1-2号吉比特创业中心B栋","18"
"联科数据","民营企业","150-500人","互联网/游戏/软件","北京市/北京",,"36"
"长沙晶易医药","民营企业","500-2000人","医疗/健康/制药/生物","湖南/长沙","湖南省长沙市岳麓区麓天路五矿麓谷科技产业园A3栋8楼","238"
"蓝发糖浆","民营企业","15-50人","快消/百货/批发/零售","广西/南宁","广西南宁市江南区下津路12号产投（江南）企业公园A栋","10"
"翰皇文化","民营企业","15-50人","不限","江苏/无锡","深港亚太中心","10"
"两颗红豆","民营企业","15-50人","企业服务/咨询","广东/广州","广州市越秀区广州大道中293号琥珀外商广场3楼","10"
"汽车时间","民营企业","15-50人","汽车/机械/制造","北京市/北京","银河SOHOD座","10"
"河钢集团供应链","国有企业","500-2000人","互联网/游戏/软件","河北/石家庄",,"77"
"希格斯投资","民营企业","15-50人","金融/经济/投资/财会","浙江/杭州","浙江省杭州市滨江区长河街道滨康路308号聚才大厦2幢2502室","37"
"大医全媒","民营企业","15-50人","医疗/健康/制药/生物","山东/济南","山东省济南市历下区华润置地7号楼1411号","64"
"斯明快","民营企业","少于15人","互联网/游戏/软件","四川/成都","高新区天府二街绿地之窗","10"
"晨星资讯（深圳）有限公司","外资企业","500-2000人","金融/经济/投资/财会","广东/深圳","东海国际中心A座6楼","69"
"SmarterMobi","民营企业","15-50人","互联网/游戏/软件","广东/深圳","深圳市南山区深圳湾生态园9A","7"
"百思特赛乐","民营企业","50-150人","快消/百货/批发/零售","广东/深圳","老兵工业城(西门)1栋西侧8楼","4"
"政采云","民营企业","500-2000人","互联网/游戏/软件","浙江/杭州","西湖区鲤鱼山街18号鹏辉产业园一号楼","3"
"众生源餐饮","民营企业","500-2000人","餐饮/酒店/旅游/娱乐","湖北/武汉","武汉市江夏区光谷鼎创国际1903","28"
"浙江绿城生活服务集团有限公司","民营企业","2000人以上","企业服务/咨询","浙江/杭州","杭州市文一西路767号绿城西溪国际","18"
"广东一亩田","民营企业","500-2000人","互联网/游戏/软件","广东/广州","广州市天河区远洋大厦1603","24"
"优诺斯德","民营企业","150-500人","广告/传媒/公关/展览","北京市/北京","北京市朝阳区孚兴写字楼B座3-4层","25"
"乐有家","民营企业","500-2000人","房产/家居/物业/建筑","武汉","经济技术开发区老集九龙明珠-64号-2室乐有家","22"
"魔笛传播","民营企业","少于15人","广告/传媒/公关/展览","北京市/北京","北京市朝阳区望京SOHO塔一A座1107","66"
"Inspior亿心展览","民营企业","15-50人","广告/传媒/公关/展览","广东/深圳","深圳TCL大厦","24"
"四菜一汤","股份制企业","15-50人","广告/传媒/公关/展览","湖北/武汉","武汉市武昌区徐东大街君临天下B座1306","16"
"海普诺凯生物科技 ","民营企业","500-2000人","快消/百货/批发/零售","湖南/长沙","全国职位，详情在职位描述中说明","21"
"费马艺术馆","民营企业","15-50人","广告/传媒/公关/展览","四川/成都",,"44"
"木光","民营企业","50-150人","企业服务/咨询","广东","深圳市南山区深圳湾科技生态园11A栋","11"
"Simba Events","民营企业","50-150人","企业服务/咨询","上海市/上海","上海闵行区七宝宝龙城T9-8楼","13"
"长沙星兴万物科技有限公司","股份制企业","15-50人","互联网/游戏/软件","湖南/长沙","腾讯云启","3"
"百泰集团","民营企业","2000人以上","快消/百货/批发/零售","广东/深圳","深圳市盐田区北山道北山工业区二期百泰珠宝大楼","39"
"360数科","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","酒仙桥360大厦A座南入口","91"
"徕伊佐慕深圳","民营企业","50-150人","互联网/游戏/软件","广东/深圳","深圳南山区田厦金牛广场A座3910室（地铁1号线桃园A出口）","28"
"绿地贸易港集团","国有企业","2000人以上","房产/家居/物业/建筑","上海市/上海","上海徐汇区绿地缤纷城瑞平路36号","28"
"叠纸游戏","民营企业","500-2000人","互联网/游戏/软件","上海","上海杨浦区政高路38号B栋","12"
"国投瑞银基金","外资企业","150-500人","金融/经济/投资/财会","全国","深圳福田区金田路4028号荣超经贸中心","60"
"欧尔孚特","民营企业","150-500人","金融/经济/投资/财会","江苏/常州","常州武进区天安数码城B-1栋401室","48"
"明门幼童","民营企业","2000人以上","汽车/机械/制造","广东","东莞市清溪镇","172"
"国育新业","民营企业","15-50人","互联网/游戏/软件","北京市/北京","北京市海淀区中关村大街18号B座一层0002室","27"
"信也科技","民营企业","2000人以上","互联网/游戏/软件","上海市","丹桂路999号国创中心慧天地G1栋","107"
"赫基集团","股份制企业","2000人以上","快消/百货/批发/零售","广东/广州","林和中路8号海航大厦17楼","144"
"锦欣集团","民营企业","2000人以上","医疗/健康/制药/生物","四川","深圳市福田区福田街道福民社区滨河大道5003号","70"
"360数科","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","陆家嘴金融服务广场5层（东方路1217号）","94"
"知达数据","民营企业","少于15人","互联网/游戏/软件","上海市/上海","上海市静安区光复路1号210","11"
"天朗防务","民营企业","50-150人","电子/通信/硬件","江苏/南京","江苏省南京市江宁区麒麟科创园","129"
"信雅达","股份制企业","2000人以上","互联网/游戏/软件","杭州","东莞市松山湖科技八路东莞银行信息保障中心","23"
"信雅达","股份制企业","2000人以上","互联网/游戏/软件","杭州","沈阳市和平区南京北街107号（盛京银行）","41"
"维宁尔电子","外资企业","500-2000人","汽车/机械/制造","上海市/上海","上海市闵行区申长路1688弄中骏广场2期11号楼","148"
"IQVIA艾昆纬","外资企业","500-2000人","医疗/健康/制药/生物","上海市/上海","上海市浦东新区耀龙路 1359 号晶耀商务广场 1 幢 9 楼","122"
"IQVIA艾昆纬","外资企业","500-2000人","医疗/健康/制药/生物","上海市/上海","辽宁省大连高新技术产业园区汇贤园 1 号楼 10 层","45"
"IQVIA艾昆纬","外资企业","500-2000人","医疗/健康/制药/生物","上海市/上海","北京市东城区王府井大街 138 号新东安广场 3 座","131"
"SHEIN","民营企业","2000人以上","互联网/游戏/软件","广东","红棉路6号恒锋一区2栋1楼","14"
"晨星资讯（深圳）有限公司","外资企业","500-2000人","金融/经济/投资/财会","广东/深圳","深圳市福田区东海国际中心A座3-8层","22"
"腾银财智","民营企业","150-500人","金融/经济/投资/财会","广东/深圳","深圳市南山区粤海街道A8音乐大厦","2"
"360数科","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","360大厦B座北入口","27"
"富途网络","民营企业","500-2000人","互联网/游戏/软件","深圳","深圳市南山区科兴科学园","22"
"凡岛网络","民营企业","2000人以上","互联网/游戏/软件","广东/广州","广东省广州市黄浦区芯大厦B栋凡岛网络","16"
"Flow++","民营企业","50-150人","互联网/游戏/软件","北京","广州天河区广晟国际大厦 53层5302","42"
"佳格天地","民营企业","150-500人","互联网/游戏/软件","北京市/北京","雨花区软件大数据基地4栋407-408","11"
"佳格天地","民营企业","150-500人","互联网/游戏/软件","北京市/北京","南京雨花区软件大数据基地4栋407-408","30"
"佳格天地","民营企业","150-500人","互联网/游戏/软件","北京市/北京","雨花区软件大数据基地","11"
"华讯网络","民营企业","500-2000人","电子/通信/硬件","上海","上海市红宝石路500号东银中心A栋29F","97"
"华讯网络","民营企业","500-2000人","电子/通信/硬件","上海",,"50"
"数势科技","民营企业","150-500人","企业服务/咨询","北京市/北京","北京·海淀区·北太平庄北航致真大厦A座805","54"
"成都智元汇","股份制企业","150-500人","互联网/游戏/软件","四川/成都","成都市高新区锦云东三巷1号 金融麦田C栋","138"
"上海链家","民营企业","2000人以上","房产/家居/物业/建筑","上海","全国职位，详情在职位描述中说明","31"
"山维科技","民营企业","150-500人","互联网/游戏/软件","北京","南宁市青秀区利海亚洲国际领峰B座2206","12"
"山维科技","民营企业","150-500人","互联网/游戏/软件","北京","安阳文峰区万达广场(安阳店)安阳万达广场8-2号楼1单元9层917号","12"
"晨星资讯（深圳）有限公司","外资企业","500-2000人","金融/经济/投资/财会","广东/深圳","深圳市福田区东海国际中心","15"
"京东五星电器集团有限公司","民营企业","2000人以上","互联网/游戏/软件","江苏/南京","南京市鼓楼区中山北路241号华侨大厦【总部】","209"
"宽德投资","民营企业","50-150人","金融/经济/投资/财会","广东/珠海","全国职位，详情在职位描述中说明","130"
"泰康资产","民营企业","500-2000人","金融/经济/投资/财会","北京","北京市","321"
"光庭信息","股份制企业","500-2000人","互联网/游戏/软件","武汉","武汉市","61"
"晶盛机电","股份制企业","2000人以上","电子/通信/硬件","绍兴","杭州\u002F绍兴","52"
"宽德投资","民营企业","150-500人","互联网/游戏/软件","上海市/上海","上海市 浦东新区东方路1267号陆家嘴金融服务广场二期13号楼15层1501-1502","71"
"融顺昌","民营企业","50-150人","金融/经济/投资/财会","成都","成都市成华区猛追湾街道游泳池东大门金羽羽毛馆5楼","19"
"红松学堂","民营企业","500-2000人","互联网/游戏/软件","全国","天府四街158号OCG国际中心B座24楼01号","103"
"聚数","民营企业","50-150人","互联网/游戏/软件","上海市/上海","上海市普陀区康建商务广场","19"
"亚宝药业","股份制企业","2000人以上","医疗/健康/制药/生物","北京市/北京","北京亦庄经济开发区荣华中路富兴国际10-12层","104"
"Agoda","外资企业","500-2000人","互联网/游戏/软件","上海市/上海","黄浦区宏伊国际广场","11"
"旻月","股份制企业","15-50人","互联网/游戏/软件","江西/赣州","江西省赣州市于都县脉动智造10楼1003","5"
"首创证券","国有企业","500-2000人","金融/经济/投资/财会","北京市/北京","北京市朝阳区安定路5号院13号A座","288"
"国准信息技术研究院","合伙企业","150-500人","教育/培训","江苏/南京","南京市栖霞区元化路8号南大科学园创新创业大厦2层","41"
"深科技","国有企业","2000人以上","电子/通信/硬件","广东/深圳","深圳市福田区彩田路7006号","52"
"聚水潭","合伙企业","2000人以上","互联网/游戏/软件","上海市/上海","申长路990弄 虹桥汇T4 6楼","49"
"高瓴联合校招","民营企业","150-500人","不限","全国",,"2503"
"SHEIN","民营企业","2000人以上","互联网/游戏/软件","广东","红棉路6号恒锋一区2栋1层","102"
"深圳宝源行","民营企业","150-500人","汽车/机械/制造","广东/深圳","深圳市福田区竹子林福安大厦一二楼","80"
"友塔游戏","民营企业","500-2000人","互联网/游戏/软件","上海市/上海","上海市长宁区娄山关路金虹桥商务中心北楼","19"
"柠檬微趣","股份制企业","50-150人","互联网/游戏/软件","北京","北京市西城区车公庄大街4号新华1949园区3号楼2","28"
"安信证券","国有企业","2000人以上","金融/经济/投资/财会","北京市/北京","深圳市福田区金田路4018号安联大厦28楼B座","48"
"祐和医药","民营企业","500-2000人","医疗/健康/制药/生物","北京市/北京","北京市朝阳区建国路77号华贸中心写字楼3号楼23层","78"
"虹软科技","外资企业","500-2000人","互联网/游戏/软件","杭州","杭州市西湖区西斗门路3号天堂软件园A幢23楼","18"
"红松学堂","民营企业","500-2000人","互联网/游戏/软件","全国","朝阳区融科望京中心A座1905","68"
"清华四川能源互联网研究院","事业单位","150-500人","电子/通信/硬件","四川/成都","四川省成都市天府新区天府新经济产业园B区2-7号楼","21"
"零跑汽车","民营企业","2000人以上","汽车/机械/制造","浙江/杭州","杭州市滨江区芯图大厦","324"
"数梦工场","民营企业","500-2000人","互联网/游戏/软件","杭州","杭州市西湖区转塘河山街369号中大银座9号楼","25"
"京东物流","民营企业","2000人以上","交通/贸易/物流","广州","广东\u002F广西\u002F福建\u002F海南 各城市","75"
"会小二","民营企业","150-500人","企业服务/咨询","北京市/北京","北京市朝阳区","22"
"思特奇","民营企业","150-500人","互联网/游戏/软件","山西/太原","太原高新动力港25层&26层","57"
"绿巢环境","民营企业","50-150人","企业服务/咨询","北京市/北京","北京市海淀区双清路77号双清大厦","117"
"神州数码","民营企业","2000人以上","互联网/游戏/软件","北京","海淀区上地9街9号数码科技广场","16"
"明略科技集团","民营企业","2000人以上","互联网/游戏/软件","全国","上海市徐汇区西岸人工智能大厦","19"
"友达","合伙企业","2000人以上","汽车/机械/制造","江苏/苏州","苏虹中路398号友达光电东南2门(面试地点：T1面谈室)","429"
"一零跃动","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","北京朝阳区航空科技大厦1604","77"
"融慧金科","民营企业","150-500人","金融/经济/投资/财会","北京市/北京","上海市浦东新区世纪汇","35"
"杭州小电科技股份有限公司","民营企业","2000人以上","互联网/游戏/软件","全国","杭州市余杭区文一西路998号海创园5幢605","116"
"新七天","股份制企业","150-500人","互联网/游戏/软件","北京市/北京","北京石景山区鲁谷路中国瑞达大厦18层北京新七天","54"
"哪吒汽车","民营企业","2000人以上","汽车/机械/制造","上海市/上海","上海市闵行区中骏广场","53"
"高瓴联合校招","民营企业","150-500人","不限","全国","江苏省常州市武进区龙惠路39号","71"
"融慧金科","民营企业","150-500人","金融/经济/投资/财会","北京市/北京","北京市朝阳区温特莱中心A座16层","45"
"欢聚集团","民营企业","2000人以上","互联网/游戏/软件","广东/广州","西溪龙湖天街蓝海引擎7楼731室","23"
"欢聚集团","民营企业","2000人以上","互联网/游戏/软件","广东/广州","万博商务区万达广场B-1栋28层","297"
"真格基金","民营企业","50-150人","金融/经济/投资/财会","北京",,"48"
"泓馆农业","民营企业","50-150人","农林牧渔/其他","辽宁/大连","辽宁省大连市甘井子区","22"
"映客直播","民营企业","500-2000人","互联网/游戏/软件","广州","阅江西路218号广州国际媒体​港西港 4 楼","65"
"中电药明","外资企业","15-50人","医疗/健康/制药/生物","北京市/北京","北京市东城区wework5层","37"
"Vista看天下","民营企业","50-150人","广告/传媒/公关/展览","北京市/北京","北京市朝阳区北投投资大厦B座11层","12"
"中国婚博会","民营企业","150-500人","广告/传媒/公关/展览","北京市/北京","北京市海淀区学清路8号科技财富中心B座307室","9"
"水羊股份","民营企业","500-2000人","互联网/游戏/软件","湖南/长沙","长沙市岳麓区岳麓西大道588号芯城科技园 水羊股份大楼","20"
"话本小说","民营企业","15-50人","互联网/游戏/软件","北京市/北京","北京朝阳区东方梅地亚中心C座","14"
"AMYGO AI","民营企业","500-2000人","互联网/游戏/软件","江苏/南通","江苏省南通市开发区江成路1088号苏锡通科技产业园区8号楼","26"
"山东辰全","民营企业","150-500人","互联网/游戏/软件","山东/济南","山东省济南市章丘区经十东路双创基地","14"
"山东辰全","民营企业","150-500人","互联网/游戏/软件","山东/济南","山东省济南市章丘区经十东路双创基地4号楼1层","13"
"北大医信","民营企业","500-2000人","医疗/健康/制药/生物",,"方正国际大厦","35"
"字节跳动","民营企业","2000人以上","互联网/游戏/软件","北京","北京\u002F朝阳区  北辰西路8号院2号楼","26"
"睛鹊科技","民营企业","少于15人","互联网/游戏/软件","广东/深圳","重庆市渝北区金山意库 5 栋","2"
"知达数据","民营企业","少于15人","互联网/游戏/软件","上海市/上海","上海黄浦区太仓路58号2楼202-203室","19"
"SAS","外资企业","150-500人","企业服务/咨询","全国","上海市徐汇区港汇中心A座","69"
"启明信息","国有企业","500-2000人","互联网/游戏/软件","吉林/长春","长春净月高新技术产业开发区百合街1009号启明软件园","90"
"康佳智能电器","国有企业","150-500人","汽车/机械/制造","广东/深圳","深圳市宝安区泰华梧桐岛12栋3楼","63"
"广策信息 ","民营企业","15-50人","互联网/游戏/软件","上海","上海市达尔文路88号10号楼2楼","39"
"东方金信","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","全国职位，详情在职位描述中说明","140"
"DolphinDB智臾科技","民营企业","50-150人","互联网/游戏/软件","浙江/杭州","浙江省杭州市萧山区启迪路杭州湾信息港","20"
"非夕机器人","民营企业","150-500人","电子/通信/硬件","上海市","深圳南山粤海街道A8音乐大厦","20"
"喀斯玛商城","国有企业","150-500人","互联网/游戏/软件","北京市/北京","北京市海淀区中关村南三街六号中科资源大厦裙楼四层","39"
"中储智运","民营企业","500-2000人","互联网/游戏/软件","南京","江苏省南京市鼓楼区泛悦城市广场T1楼","235"
"融慧金科","民营企业","150-500人","金融/经济/投资/财会","北京市/北京","朝阳区西大望路1号温特莱中心","17"
"巽竹科技","民营企业","15-50人","互联网/游戏/软件","上海市/上海","上海市闵行区紫星路588号2号楼","51"
"欢聚集团","民营企业","2000人以上","互联网/游戏/软件","广东/广州","万博商务区万达广场B-1栋","18"
"欢聚集团","民营企业","2000人以上","互联网/游戏/软件","广东/广州","知春路7号致真大厦C座11层","44"
"正大侨商","民营企业","50-150人","房产/家居/物业/建筑","北京市/北京","朝阳区正大中心","36"
"佳期投资","民营企业","150-500人","金融/经济/投资/财会","上海市/上海","北京市海淀区","80"
"佳期投资","民营企业","150-500人","金融/经济/投资/财会","上海市/上海","上海市浦东新区","67"
"叠纸游戏","民营企业","500-2000人","互联网/游戏/软件","上海","上海市杨浦区政高路38号创智国际B栋","368"
"澳鹏数据科技有限公司","外资企业","150-500人","互联网/游戏/软件","辽宁/大连","无锡市新吴区大学科技园立业楼E座4层","12"
"北京四维纵横数据技术有限公司","民营企业","15-50人","互联网/游戏/软件","北京市/北京","北京市海淀区量子银座611","14"
"微基因","民营企业","50-150人","医疗/健康/制药/生物","广东/深圳","深圳市福田区沙头街道车公庙天安创新科技广场A1002","16"
"万得","股份制企业","2000人以上","互联网/游戏/软件",,"南京市建邺区泰山路199号万得大厦","94"
"京东物流","民营企业","2000人以上","交通/贸易/物流","北京市/北京",,"141"
"中欧基金","外资企业","150-500人","金融/经济/投资/财会","上海市/上海","上海中心","14"
"炎凰数据","民营企业","50-150人","互联网/游戏/软件","上海市/上海",,"137"
"网易有道西安基地","民营企业","2000人以上","教育/培训","陕西/西安","北京市海淀区西北旺东路10号院中关村软件园二期西区7号A座","169"
"索信达","民营企业","500-2000人","互联网/游戏/软件","广东/深圳",,"15"
"泰信基金管理有限公司","国有企业","50-150人","金融/经济/投资/财会","上海市/上海","浦东新区浦东南路256号华夏银行大厦37层","33"
"泰豪","股份制企业","500-2000人","互联网/游戏/软件","北京市",,"12"
"TESLA-特斯拉","外资企业","2000人以上","汽车/机械/制造","全国","上海市浦东新区江山路5000号","141"
"江波龙","股份制企业","500-2000人","电子/通信/硬件","广东/深圳","深圳市南山区科技园科发路八号金融基地一栋八楼","14"
"源讯","外资企业","500-2000人","互联网/游戏/软件",,"四川省成都市高新区天府软件园C6","19"
"新视窗","民营企业","150-500人","互联网/游戏/软件","杭州","西湖区天堂软件园E幢6楼","11"
"索信达","民营企业","500-2000人","互联网/游戏/软件","广东/深圳","成都高新区","16"
"索信达","民营企业","500-2000人","互联网/游戏/软件","广东/深圳","北京朝阳区望京浦项","31"
"索信达","民营企业","500-2000人","互联网/游戏/软件","广东/深圳","广州市天河区高志大厦","16"
"思特奇","股份制企业","2000人以上","互联网/游戏/软件","武汉","全国职位，详情在职位描述中说明","116"
"Soul APP","民营企业","500-2000人","互联网/游戏/软件","上海市/上海","樱花路868号大唐国际广场A座22楼","56"
"瓜子二手车","民营企业","2000人以上","互联网/游戏/软件","北京","北京市朝阳区898创新空间","159"
"博之音&博佳","民营企业","50-150人","医疗/健康/制药/生物","上海市/上海","上海市浦东新区祖冲之路2277弄世和商务中心1号楼501 -504室","94"
"清华四川能源互联网研究院","事业单位","150-500人","电子/通信/硬件","四川/成都","成都天府菁蓉中心B区","37"
"法本信息","股份制企业","2000人以上","互联网/游戏/软件","深圳","北京\u002F昌平区 中国电子昌平科技园","12"
"毫末智行","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","朝阳南大街2199号蜂巢能源中心","171"
"实习僧校招内推助手","民营企业","50-150人","互联网/游戏/软件","北京市","北京市朝阳区颐堤港写字楼","23"
"联启科技","民营企业","150-500人","互联网/游戏/软件","山西/朔州",,"23"
"神州数码","民营企业","2000人以上","互联网/游戏/软件","北京","北京市海淀区上地九街九号","68"
"强联智创","民营企业","150-500人","医疗/健康/制药/生物","北京市/北京","北京市大兴区大族广场T3-901","67"
"国富光启","股份制企业","50-150人","电子/通信/硬件","上海市/上海","宝山区云天路","10"
"医药魔方","民营企业","150-500人","医疗/健康/制药/生物","北京市/北京","上海市浦东新区张江高科技园亮秀路Y1座611","13"
"黑鲨科技","民营企业","150-500人","电子/通信/硬件","深圳","上海市浦东新区杨高南路1998号4号楼2楼","72"
"华讯网络","民营企业","500-2000人","电子/通信/硬件","上海","香港湾仔骆克道3号16楼","29"
"建瓴","民营企业","50-150人","电子/通信/硬件","广东/深圳","南京是雨花区","40"
"卓望公司","外资企业","2000人以上","电子/通信/硬件","北京市/北京","北京市丰台区南四环西路汉威国际广场12号楼","84"
"婺亿信息","民营企业","15-50人","互联网/游戏/软件","上海市/上海","上海市浦东新区陆家嘴","20"
"影创科技","民营企业","150-500人","电子/通信/硬件","上海市/上海","洲海路1068号影创大楼","64"
"建瓴","民营企业","50-150人","电子/通信/硬件","广东/深圳","浦东新区亮秀路112弄Y2座602室","39"
"建瓴","民营企业","50-150人","电子/通信/硬件","广东/深圳","浦东新区亮秀路112号Y2座602室","8"
"直觉信息","民营企业","15-50人","互联网/游戏/软件","上海市/上海","博霞路22号407室","20"
"建瓴","民营企业","50-150人","电子/通信/硬件","广东/深圳","南京市雨花区","8"
"科创之星","社会团体","少于15人","企业服务/咨询","湖北","武汉市江岸区谌家矾大道88号长江新城管委会8号楼","23"
"神州数码","民营企业","2000人以上","互联网/游戏/软件","杭州","滨江区滨康路228号万福中心A座22楼","42"
"mini peace","外资企业","500-2000人","快消/百货/批发/零售","宁波","宁波市鄞州区太平鸟时尚中心鸟巢","48"
"慧流体生物科技","民营企业","50-150人","医疗/健康/制药/生物","广东/深圳","深圳市宝安区新安街道兴东社区众里创新社区","98"
"施耐德电气","外资企业","2000人以上","汽车/机械/制造","北京市/北京",,"1538"
"碳云智能","民营企业","150-500人","医疗/健康/制药/生物","广东/深圳","广东省珠海市横琴新区环岛东路 1889 号创意谷7栋","24"
"衡泰技术","外资企业","500-2000人","金融/经济/投资/财会","浙江","世纪大道1168号东方金融广场B座10楼","62"
"海信日立","外资企业","2000人以上","电子/通信/硬件",,"青岛市黄岛区","73"
"Rockey","股份制企业","150-500人","互联网/游戏/软件","北京市/北京","武汉市洪山区关山大道铭丰大厦1601","65"
"学校大脑","民营企业","50-150人","互联网/游戏/软件","浙江/杭州","杭州 - 西湖区- 转塘街道山景路7号3幢银杏谷楼","34"
"华夏学院","事业单位","2000人以上","教育/培训","广东/广州","广州市从化区城鳌大道东772号","340"
"艺恩数据","民营企业","50-150人","互联网/游戏/软件","上海市/上海","上海市浦东新区张杨路中融大厦东楼","20"
"美尚集团","民营企业","500-2000人","快消/百货/批发/零售","广东/广州","广州市海珠区琶洲大道79号宝地广场25楼2501单元","47"
"RIO鸡尾酒","民营企业","500-2000人","快消/百货/批发/零售","上海市/上海","源深路1088号平安财富大厦10楼","34"
"南复数据","民营企业","50-150人","互联网/游戏/软件","上海市","浦东新区五星路676号48幢","12"
"中星微技术股份有限公司","外资企业","2000人以上","电子/通信/硬件","全国","江苏省南京市江北新区星火路17号创制大厦16层","48"
"金隅集团","国有企业","2000人以上","房产/家居/物业/建筑","北京市/北京","北京大兴","33"
"融慧金科","民营企业","150-500人","金融/经济/投资/财会","北京市/北京","朝阳区温特莱中心A座16层","32"
"品联科技","民营企业","150-500人","化工/能源/环保","浙江/杭州","中国（四川）自由贸易试验区成都高新区天府四街199号1栋6楼","92"
"易点云","民营企业","500-2000人","企业服务/咨询","全国","北京市昌平区西小口易点云大厦","34"
"万得","股份制企业","2000人以上","互联网/游戏/软件",,"上海市浦东新区浦明路1500号万得大厦","102"
"百威","外资企业","500-2000人","快消/百货/批发/零售","广东/广州","广州市越秀区中华国际中心A塔21楼","52"
"德勤","外资企业","2000人以上","企业服务/咨询","辽宁/大连","大连甘井子区腾飞软件园腾飞软件园8号楼","76"
"东软睿驰","民营企业","500-2000人","汽车/机械/制造","沈阳","沈阳市浑南区新秀街2号东软软件园","225"
"佰钧成","民营企业","2000人以上","互联网/游戏/软件","广州","广州市越秀区东风东路东宝大厦（地铁1号线杨箕、5号线动物园）","15"
"衡泰技术","外资企业","500-2000人","金融/经济/投资/财会","浙江","崇文门外大街9号正仁大厦7层","35"
"北京四维纵横数据技术有限公司","民营企业","15-50人","互联网/游戏/软件","北京市/北京","北京海淀区量子银座6层612室","36"
"OTYPE","民营企业","150-500人","企业服务/咨询","上海市/上海","上海\u002F黄浦区  黄陂南路838号中海国际中心","13"
"华声医疗","民营企业","150-500人","医疗/健康/制药/生物","广东/深圳",,"672"
"天阳科技","股份制企业","2000人以上","互联网/游戏/软件","北京","全国职位，详情在职位描述中说明","39"
"科锐国际","民营企业","500-2000人","企业服务/咨询","苏州","北京朝阳区","11"
"成都智元汇","股份制企业","150-500人","互联网/游戏/软件","四川/成都","成都双流区AI创新中心B区B6栋1单元18层","140"
"中星微技术股份有限公司","外资企业","2000人以上","电子/通信/硬件","全国","广东省珠海市香洲区横琴新区金融产业服务基地16栋","14"
"百丽国际","民营企业","2000人以上","快消/百货/批发/零售","广东/深圳","后海滨路与东滨路交汇处兰香一街8号百丽大厦","28"
"润煦贸易","民营企业","15-50人","交通/贸易/物流","广东/广州","广州市天河中山大道中1105号和安堡商业大厦303室","23"
"中科院计算所",,"2000人以上","互联网/游戏/软件","北京","北京市海淀区北清路龙芯产业园1号楼","14"
"吉利集团","民营企业","2000人以上","汽车/机械/制造","杭州","浙江省杭州市滨江区江陵路1760号吉利集团","102"
"明略科技集团","民营企业","2000人以上","互联网/游戏/软件","全国","金汉汪科技大厦","46"
"兰亭集势","民营企业","500-2000人","互联网/游戏/软件","上海市/上海","百子湾路33号万利中心3楼325","36"
"拓维信息","民营企业","2000人以上","互联网/游戏/软件","湖南/长沙","湖南省长沙市岳麓区桐梓坡西路298号","294"
"中建电商","国有企业","150-500人","互联网/游戏/软件","四川/成都","成都市高新区领地环球金融中心A座36楼云筑网","14"
"智数时空","民营企业","15-50人","互联网/游戏/软件","北京市/北京","北京市海淀区知春路9号坤讯大厦605","23"
"博安实业","民营企业","15-50人","电子/通信/硬件","上海市/上海","上海黄浦区盛泽路8号宁东大厦20楼","14"
"启高科技","民营企业","150-500人","企业服务/咨询","上海市/上海","上海市闵行区申滨路25号九星虹桥商务中心B座706室","14"
"国双","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","贵州 贵阳市 观山湖区德福中心A2栋-16层1603室","79"
"国双","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","四川省成都市 高新区天府大道北段1700号环球中心W1区17楼1723室","79"
"国双","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","陕西省西安市 雁塔区，丈八四路20号神州数码科技园4号楼15层D区","128"
"源讯","外资企业","500-2000人","互联网/游戏/软件",,"南京市浦口区星火路创智大厦12层","47"
"当虹科技","股份制企业","150-500人","互联网/游戏/软件","浙江","浙江省杭州市西湖区天堂软件园E幢16层","45"
"浩鲸科技","股份制企业","2000人以上","互联网/游戏/软件","南京","南京市江宁区","153"
"水滴公司","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","朝阳区利泽中二路望京科技创业园C座","34"
"百济神州","民营企业","2000人以上","医疗/健康/制药/生物","全国","嘉里中心","18"
"泰邦生物","民营企业","500-2000人","医疗/健康/制药/生物","全国",,"55"
"百济神州","民营企业","2000人以上","医疗/健康/制药/生物","全国","光谷","27"
"百济神州","民营企业","2000人以上","医疗/健康/制药/生物","全国","国贸","27"
"古茗茶饮","民营企业","500-2000人","快消/百货/批发/零售","浙江/杭州","萧山科创中心","58"
"智慧中科","民营企业","15-50人","互联网/游戏/软件","北京市/北京","北京市海淀区中关村壹号A1座","18"
"博云","民营企业","500-2000人","互联网/游戏/软件","江苏/苏州","江苏省苏州市工业园区星湖街328号创意产业园7-9F","61"
